column_name,column_type,column_description,sample_value,ref_key
event_server_timestamp_offset,NUMBER,,[2700211],
stream_id,TEXT,,"[""1051193346""]",
traffic_source,VARIANT,,"[""{\n  \""medium\"": \""(none)\"",\n  \""name\"": \""(direct)\"",\n  \""source\"": \""(direct)\""\n}""]",
event_date,TEXT,,"[""20180928""]",
user_id,TEXT,,[],
app_info,VARIANT,,"[""{\n  \""firebase_app_id\"": \""1:300830567303:android:9b9ba2ce17104d0c\"",\n  \""id\"": \""com.labpixies.flood\"",\n  \""install_source\"": \""com.android.vending\"",\n  \""version\"": \""2.62\""\n}""]",
event_timestamp,NUMBER,,"[1538155824941015, 1538156119139063, 1538156213384084]",
event_params,VARIANT,,"[""[\n  {\n    \""key\"": \""board\"",\n    \""value\"": {\n      \""string_value\"": \""S\""\n    }\n  },\n  {\n    \""key\"": \""value\"",\n    \""value\"": {\n      \""int_value\"": 19\n    }\n  },\n  {\n    \""key\"": \""firebase_screen_class\"",\n    \""value\"": {\n      \""string_value\"": \""game_board\""\n    }\n  },\n  {\n    \""key\"": \""firebase_event_origin\"",\n    \""value\"": {\n      \""string_value\"": \""app+gtm\""\n    }\n  },\n  {\n    \""key\"": \""firebase_screen_id\"",\n    \""value\"": {\n      \""int_value\"": -6362464169800482173\n    }\n  }\n]"", ""[\n  {\n    \""key\"": \""board\"",\n    \""value\"": {\n      \""string_value\"": \""S\""\n    }\n  },\n  {\n    \""key\"": \""value\"",\n    \""value\"": {\n      \""int_value\"": 22\n    }\n  },\n  {\n    \""key\"": \""firebase_screen_class\"",\n    \""value\"": {\n      \""string_value\"": \""game_board\""\n    }\n  },\n  {\n    \""key\"": \""firebase_event_origin\"",\n    \""value\"": {\n      \""string_value\"": \""app+gtm\""\n    }\n  },\n  {\n    \""key\"": \""firebase_screen_id\"",\n    \""value\"": {\n      \""int_value\"": -6362464169800482173\n    }\n  }\n]"", ""[\n  {\n    \""key\"": \""board\"",\n    \""value\"": {\n      \""string_value\"": \""S\""\n    }\n  },\n  {\n    \""key\"": \""value\"",\n    \""value\"": {\n      \""int_value\"": 20\n    }\n  },\n  {\n    \""key\"": \""firebase_screen_class\"",\n    \""value\"": {\n      \""string_value\"": \""game_board\""\n    }\n  },\n  {\n    \""key\"": \""firebase_event_origin\"",\n    \""value\"": {\n      \""string_value\"": \""app+gtm\""\n    }\n  },\n  {\n    \""key\"": \""firebase_screen_id\"",\n    \""value\"": {\n      \""int_value\"": -6362464169800482173\n    }\n  }\n]""]",
device,VARIANT,,"[""{\n  \""category\"": \""mobile\"",\n  \""is_limited_ad_tracking\"": \""No\"",\n  \""language\"": \""en-us\"",\n  \""mobile_brand_name\"": \""not available in demo dataset\"",\n  \""mobile_marketing_name\"": \""not available in demo dataset\"",\n  \""mobile_model_name\"": \""not available in demo dataset\"",\n  \""mobile_os_hardware_model\"": \""not available in demo dataset\"",\n  \""operating_system\"": \""ANDROID\"",\n  \""operating_system_version\"": \""not available in demo dataset\"",\n  \""time_zone_offset_seconds\"": -14400\n}""]",
event_dimensions,VARIANT,,[],
user_ltv,VARIANT,,[],
event_name,TEXT,,"[""level_complete_quickplay"", ""level_end_quickplay"", ""level_start_quickplay""]",
user_pseudo_id,TEXT,,"[""D50D60807F5347EB64EF0CD5A3D4C4CD""]",
event_previous_timestamp,NUMBER,,"[1538155727124015, 1538155818941063, 1538156052139084]",
event_value_in_usd,FLOAT,,[],
event_bundle_sequence_id,NUMBER,,[130],
user_properties,VARIANT,,[],
platform,TEXT,,"[""ANDROID""]",
user_first_touch_timestamp,NUMBER,,[1481243413060000],
geo,VARIANT,,"[""{\n  \""continent\"": \""Americas\"",\n  \""country\"": \""United States\""\n}""]",
