column_name,column_type,column_description,sample_value,ref_key
totals_transactions,NUMBER,,[1],
hits_page_pagePathLevel1,TEXT,,"[""/ordercompleted.html""]",
hits_product_productPrice,NUMBER,,"[3500000, 1500000, 44790000]",
hits_product_productQuantity,NUMBER,,"[2, 1]",
hits_page_pageTitle,TEXT,,"[""Checkout Confirmation""]",
hits_transaction_transactionRevenue,NUMBER,,"[42000000, 97580000]",
hits_product_v2ProductCategory,TEXT,,"[""(not set)"", ""Apparel""]",
hits_product_productRevenue,NUMBER,,"[7800000, 3800000, 48790000]",
hits_product_productSKU,TEXT,,"[""GGOEGHGC019799"", ""GGOEGHGH019699"", ""GGOEGFKA022299""]",
totals_timeOnSite,NUMBER,,"[1834, 1036]",
hits_product_productVariant,TEXT,,"["" BLUE"", "" GREEN"", ""Single Option Only""]",
hits_time,NUMBER,,"[1819831, 1035884]",
hits_transaction_transactionId,TEXT,,"[""ORD20160807983"", ""ORD201702062188""]",
hits_product_productRefundAmount,NUMBER,,[],
fullVisitorId,TEXT,,"[""7851878234225373633"", ""5719637398048239955""]",
totals_totalTransactionRevenue,NUMBER,,"[42000000, 97580000]",
totals_pageviews,NUMBER,,"[40, 38]",
geoNetwork_country,TEXT,,"[""Peru""]",
hits_product_v2ProductName,TEXT,,"[""Google Sunglasses"", ""Keyboard DOT Sticker"", ""YouTube Men's Fleece Hoodie Black""]",
hits_page_searchKeyword,TEXT,,[],
hits_item_itemRevenue,NUMBER,,[],
hits_item_itemQuantity,NUMBER,,[],
hits_item_currencyCode,TEXT,,"[""USD""]",
visitId,NUMBER,,"[1470617094, 1486405337]",
hits_type,TEXT,,"[""PAGE""]",
date,TEXT,,"[""20160807"", ""20170206""]",
channelGrouping,TEXT,,"[""Organic Search""]",
geoNetwork_city,TEXT,,"[""La Victoria"", ""(not set)""]",
