column_name,column_type,column_description,sample_value,ref_key
vendor_name,TEXT,The vendor name of the company for the brand of liquor ordered,"[""SAZERAC COMPANY  INC"", ""DIAGEO AMERICAS"", ""JIM BEAM BRANDS""]",
item_number,TEXT,Item number for the individual liquor product ordered.,"[""35317"", ""12408"", ""5339""]",
bottle_volume_ml,NUMBER,Volume of each liquor bottle ordered in milliliters.,"[1000, 1750, 375]",
address,TEXT,Address of store who ordered the liquor.,"[""2827 HAMILTON BLVD"", ""210 11TH STREET"", ""1810 STATE STREET""]",
city,TEXT,City where the store who ordered the liquor is located,"[""SIOUX CITY"", ""CHARLES CITY"", ""BETTENDORF""]",
invoice_and_item_number,TEXT,Concatenated invoice and line number associated with the liquor order. This provides a unique identifier for the individual liquor products included in the store order.,"[""RINV-05015300127"", ""RINV-04313400010"", ""RINV-04900100041""]",
state_bottle_cost,FLOAT,The amount that Alcoholic Beverages Division paid for each bottle of liquor ordered,"[3.97, 10.0, 39.99]",
state_bottle_retail,FLOAT,The amount the store paid for each bottle of liquor ordered,"[5.96, 15.0, 59.99]",
vendor_number,TEXT,The vendor number of the company for the brand of liquor ordered,"[""421"", ""260"", ""65""]",
pack,NUMBER,The number of bottles in a case for the liquor ordered,"[12, 6, 24]",
category_name,TEXT,Category of the liquor ordered.,"[""AMERICAN VODKAS"", ""CANADIAN WHISKIES"", ""SCOTCH WHISKIES""]",
store_name,TEXT,Name of store who ordered the liquor.,"[""HY-VEE FOOD STORE #4 / SIOUX CITY"", ""FAREWAY STORES #501 / CHARLES CITY"", ""EXPO LIQUOR""]",
item_description,TEXT,Description of the individual liquor product ordered.,"[""BARTON VODKA"", ""CANADIAN LTD WHISKY"", ""JOHNNIE WALKER BLACK""]",
store_location,BINARY,"Location of store who ordered the liquor. The Address, City, State and Zip Code are geocoded to provide geographic coordinates. Accuracy of geocoding is dependent on how well the address is interpreted and the completeness of the reference data used.","[""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\xa8\\xcc\\xd7\\xa9\\xd5\\x1aX\\xc0U\\xb6\\x17\\xea\\x93BE@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00>\\\\r\\xdc)+W\\xc0\\xc2i\\xc1\\x8b\\xbe\\x86E@')"", ""bytearray(b'\\x01\\x01\\x00\\x00\\x00\\x94\\xd3\\x0e\\xe7p\\xa0V\\xc0O\\xe5\\xf9{E\\xc3D@')""]",
zip_code,TEXT,Zip code where the store who ordered the liquor is located,"[""51104.0"", ""50616.0"", ""52722.0""]",
sale_dollars,FLOAT,Total cost of liquor order (number of bottles multiplied by the state bottle retail),"[-71.52, -90.0, -359.94]",
county_number,TEXT,Iowa county number for the county where store who ordered the liquor is located,[],
county,TEXT,County where the store who ordered the liquor is located,"[""WOODBURY"", ""FLOYD"", ""SCOTT""]",
volume_sold_liters,FLOAT,"Total volume of liquor ordered in liters. (i.e. (Bottle Volume (ml) x Bottles Sold)/1,000)""","[-12.0, -10.5, -9.0]",
store_number,TEXT,Unique number assigned to the store who ordered the liquor.,"[""2623"", ""4321"", ""5335""]",
bottles_sold,NUMBER,The number of bottles of liquor ordered by the store,"[-12, -6, -24]",
category,TEXT,Category code associated with the liquor ordered,"[""1031100.0"", ""1012100.0"", ""1012200.0""]",
volume_sold_gallons,FLOAT,"Total volume of liquor ordered in gallons. (i.e. (Bottle Volume (ml) x Bottles Sold)/3785.411784)""","[-3.17, -2.77, -2.37]",
date,DATE,Date of order,"[""2023-12-11"", ""2022-10-12"", ""2023-10-13""]",
