column_name,column_type,column_description,sample_value,ref_key
Journal,TEXT,"journal name abbreviation, eg 'Cancer Genet Cytogenet'","[""Lancet"", ""Hereditas"", ""Humangenetik""]",
AuthorsLength,TEXT,"author string length, up to 2411","[""29"", ""46"", ""16""]",
Flag,TEXT,this field is always blank,"["" ""]",
Abbreviation,TEXT,"author abbreviation, eg 'Park et al 2009'","[""Lobb et al 1972"", ""Fleischmann et al 1972"", ""Reeves et al 1972""]",
Year,NUMBER,"publication year, eg '1998'","[1972, 1973]",
Pubmed,TEXT,"PubMed identifier, if available, eg '17334343'","[""4111610"", ""4681795"", ""5026848""]",
TitleLength,NUMBER,"length of title, up to 334","[56, 60, 79]",
AuthorsLong,TEXT,"blank or complete, long author string",[],
Text,TEXT,this field is always blank,[],
AuthorsShort,TEXT,"short or truncated author string, eg 'Atkin NB, Baker MC'","[""Lobb DS, Reeves BR, Lawler SD"", ""Fleischmann T, Hakansson CH, Levan A, Moller T"", ""Reeves BR, Lobb DS, Lawler SD""]",
TitleLong,TEXT,"blank for shorter titles, otherwise the full title is in this field",[],
RefNo,NUMBER,reference number from 10 to 15880,"[32, 102, 86]",
Volume,TEXT,"journal volume, eg '95:96-101'","[""(1):849-850"", ""70:243-258"", ""14:159-161""]",
TitleShort,TEXT,"short or truncated title, eg aThe myeloperoxidase gene in acute promyelocytic leukemia'","[""Identification of isochromosome 17 in myeloid leukaemia."", ""Multiple chromosome aberrations in a lymphosarcomatous tumor"", ""Identity of the abnormal F-group chromosome associated with polycythaemia vera.""]",
