column_name,column_type,column_description,sample_value,ref_key
agency,TEXT,,"[""DOT""]",
park_facility_name,TEXT,,"[""Unspecified""]",
location_type,TEXT,,[],
cross_street_1,TEXT,,"[""234 ST"", ""148 DR"", ""258 ST""]",
facility_type,TEXT,,[],
bridge_highway_segment,TEXT,,[],
due_date,NUMBER,,[],
taxi_pickup_location,TEXT,,[],
latitude,FLOAT,Service request location latitude coordinate.,"[40.680632928324805, 40.67527795434052, 40.6538826727165]",
city,TEXT,Parsed location information. City.,"[""Rosedale""]",
bbl,NUMBER,,"[4136880103.0, 4136700053.0]",
incident_address,TEXT,Service location of Service request.,"[""133 RD"", ""148-34 HOOK CREEK BOULEVARD"", ""258-06 147 ROAD""]",
x_coordinate,NUMBER,,"[1058569, 1057575, 1060161]",
bridge_highway_direction,TEXT,,[],
created_date,NUMBER,Date Service request was created.,"[1525259280000000, 1525374180000000, 1525648320000000]",
closed_date,NUMBER,,"[1525259280000000, 1525426680000000, 1525684200000000]",
longitude,FLOAT,Service request location longitude coordinate.,"[-73.73204951489956, -73.73565453060336, -73.72641942484177]",
location,TEXT,Service request location latitude and longitude coordinates.,"[""(40.680632928324805, -73.73204951489956)"", ""(40.67527795434052, -73.73565453060336)"", ""(40.6538826727165, -73.72641942484177)""]",
resolution_action_updated_date,NUMBER,,"[1525172880000000, 1525426680000000, 1525684200000000]",
bridge_highway_name,TEXT,,[],
open_data_channel_type,TEXT,,"[""UNKNOWN""]",
road_ramp,TEXT,,[],
taxi_company_borough,TEXT,,[],
resolution_description,TEXT,,"[""Service Request status for this request is available on the Department of Transportationâ€™s website. Please click the â€œLearn Moreâ€  link below."", ""Service Request status for this request is available on the Department of Transportation's website. Please click the \""Learn More\"" link below.""]",
borough,TEXT,,"[""QUEENS""]",
vehicle_type,TEXT,,[],
agency_name,TEXT,,"[""Department of Transportation""]",
complaint_type,TEXT,,"[""Street Light Condition""]",
status,TEXT,Service request status. Duplicate statuses indicate that issue had previously been reported recently.,"[""Closed""]",
cross_street_2,TEXT,,"[""UNNAMED ST"", ""148 RD"", ""259 ST""]",
y_coordinate,NUMBER,,"[187363, 185409, 177622]",
incident_zip,TEXT,Parsed location information. Zip code.,"[""11422""]",
community_board,TEXT,,"[""13 QUEENS""]",
landmark,TEXT,,[],
descriptor,TEXT,,"[""Street Light Out""]",
intersection_street_2,TEXT,,"[""235 STREET"", ""234 STREET"", ""258 STREET""]",
intersection_street_1,TEXT,,"[""129 AVENUE"", ""133 ROAD"", ""134 ROAD""]",
street_name,TEXT,Parsed location information. Street name.,"[""133 RD"", ""HOOK CREEK BOULEVARD"", ""147 ROAD""]",
unique_key,NUMBER,The service request tracking number.,"[39084862, 39096478, 39121196]",
park_borough,TEXT,,"[""QUEENS""]",
address_type,TEXT,,"[""INTERSECTION"", ""ADDRESS""]",
