column_name,column_type,column_description,sample_value,ref_key
consecutive_number,NUMBER,,"[250217, 62975, 420632]",
state_number,NUMBER,,"[25, 6, 42]",
sex,TEXT,,"[""Male""]",
motorist_maneuver,TEXT,,"[""Not a Pedestrian""]",
crash_group_pedestrian_name,TEXT,,"[""Not a Pedestrian""]",
person_type_name,TEXT,,"[""Bicyclist""]",
crash_type_bicycle,NUMBER,,[280],
sidewalk_present,TEXT,,"[""Yes""]",
person_number,NUMBER,,[1],
pedestrian_position,TEXT,,"[""Not a Pedestrian""]",
pedestrian_scenario,TEXT,,"[""7""]",
pedestrian_scenario_name,TEXT,,"[""Not a Pedestrian""]",
pedestrian_initial_direction_of_travel,TEXT,,"[""Not a Pedestrian""]",
crash_type_pedestrian,NUMBER,,[0],
bicyclist_position,TEXT,,"[""Travel Lane"", ""Bicycle Lane/Paved Shoulder/Parking Lane"", ""Sidewalk/Crosswalk/Driveway Access""]",
crash_type_pedestrian_name,TEXT,,"[""Not a Pedestrian""]",
intersection_leg,TEXT,,"[""Not a Pedestrian""]",
crash_group_pedestrian,NUMBER,,[0],
age,NUMBER,,"[14, 62, 42]",
school_zone,TEXT,,"[""None Noted""]",
bicyclist_initial_direction_of_travel,TEXT,,"[""Facing Traffic"", ""Not Applicable"", ""With Traffic""]",
crash_location_pedestrian,TEXT,,"[""Not a Pedestrian""]",
crash_group_bicycle_name,TEXT,,"[""Parallel Paths – Other Circumstances""]",
motorist_initial_direction_of_travel,TEXT,,"[""Not a Pedestrian""]",
crash_location_bicycle,TEXT,,"[""Not At Intersection"", ""At Intersection"", ""Intersection-Related""]",
marked_crosswalk_present,TEXT,,"[""None Noted"", ""Yes""]",
crash_type_bicycle_name,TEXT,,"[""Parallel Paths – Other/Unknown""]",
crash_group_bicycle,NUMBER,,[290],
person_type,NUMBER,,[6],
vehicle_number,NUMBER,,[0],
