column_name,column_type,column_description,sample_value,ref_key
power_type,TEXT,,[],
modified_date,NUMBER,,[1609718400000000],
status,TEXT,,"[""closed""]",
city_asset_number,NUMBER,,[],
location,TEXT,,"[""(30.26383, -97.72864)"", ""(30.25802, -97.7391)"", ""(30.27907, -97.73715)""]",
number_of_docks,NUMBER,,[],
footprint_length,NUMBER,,[],
image,TEXT,,[],
alternate_name,TEXT,,[],
station_id,NUMBER,Station ID number,"[1002, 2576, 1005]",
address,TEXT,,"[""1308 W. 6th St."", ""64 Rainey St"", ""1789 Brazos St.""]",
name,TEXT,Name of station,"[""6th & Navasota St."", ""Rainey @ River St"", ""State Parking Garage @ Brazos & 18th""]",
council_district,NUMBER,,"[3, 9, 1]",
notes,TEXT,,[],
property_type,TEXT,,[],
footprint_width,FLOAT,,[],
