column_name,column_type,column_description,sample_value,ref_key
DEVICE_ID,TEXT,,"[""9lS5Z75rnO7Ld7"", ""JgvGyTJ5ukymYf"", ""YkZlFM7FkDHw3U""]",
APP_ID,TEXT,,"[""cavgwlQbKmE""]",
SDK_VERSION,TEXT,,"[""7SYUtyCo3y4Fu1"", ""aTHmtdM26KAO8f"", ""fZxi9IGbS9D1m2""]",
APP_API_ID,TEXT,,"[""2oaxoRzIvz38HQ"", ""yZDwN8GNry72qu"", ""Wzwm1jb6FNudTB""]",
DATA_POINT_SOURCE,NUMBER,,"[1688159326, 1640129404, 1674923857]",
AD_ID_TYPE,TEXT,,"[""TzN3bhWcvnbBBp"", ""PQ65GH53jcCq1N"", ""Pncsdo9RJtWotn""]",
EXTERNAL_USER_ID,TEXT,,"[""HKDYRKTXhay"", ""GboVitdPABN"", ""Wn6MgR4EhZR""]",
AD_TRACKING_ENABLED,BOOLEAN,,[true],
OS_VERSION,TEXT,,"[""ZDgQhHiT3W0HZw"", ""rmTQEshk4bFURz"", ""hkPWGxYdlFhx1d""]",
PRODUCT_ID,TEXT,,"[""B5faHSEO6jw0T9"", ""pVmHc9V2COoISQ"", ""TDQ1rOjflPpBwC""]",
AD_ID,TEXT,,"[""1NA6EV0Yzciytr"", ""aAlWPJd3TA0Txd"", ""z6M6WqEUfBQftd""]",
ID,TEXT,,"[""9PZ5LtSXktQYxH"", ""CVi7NT2v2MNpyM"", ""Wj3GxruKZkCA4L""]",
PROPERTIES,TEXT,,"[""unVcRjIXgVcove"", ""xlUM4MXZkzmj0S"", ""Ruau1WgNGqJVda""]",
USER_ID,TEXT,,"[""1gYgqhDZWstwfqb"", ""00rPzv7kfOwf0R9"", ""1Y1OUng2iJVPNNN""]",
APP_GROUP_ID,TEXT,,"[""JyWFOSKn8bq""]",
PRICE,FLOAT,,"[0.2158508599, 0.1720444262, 0.713616848]",
APP_GROUP_API_ID,TEXT,,"[""yOoj97bil3FrYk"", ""rb6lqB5sUIVxxw"", ""kH6Usa096FlXxj""]",
DEVICE_MODEL,TEXT,,"[""APPLE IPHONE XS MAX"", ""HUAWEI P30 PRO""]",
SOURCE,TEXT,,"[""WukefGqT5IlUX8"", ""G69M1D83r0JPI1"", ""fBJVrjOFAzFAcj""]",
SF_CREATED_AT,TIMESTAMP_LTZ,,"[""2021-12-14 10:20:29.779000-08:00"", ""2021-12-14 10:19:19.702000-08:00"", ""2021-12-14 10:19:07.789000-08:00""]",
PLATFORM,TEXT,,"[""android"", ""ios""]",
CURRENCY,TEXT,,"[""BO9XqPz5bOid0W"", ""wzx80Q8JwenUFM"", ""4bnLpEhNhGnwm9""]",
TIME,NUMBER,,"[1688160310, 1640129495, 1674923785]",
