column_name,column_type,column_description,sample_value,ref_key
CANVAS_API_ID,TEXT,,"[""IbI99mTyNdW5QGl"", ""l9IBtBEgqNpmuLt"", ""BN3wXFPiEQP2by3""]",
CANVAS_STEP_MESSAGE_VARIATION_ID,TEXT,,"[""mJdV5ua"", ""OgLjZ5M"", ""9lJjzMJ""]",
CANVAS_VARIATION_API_ID,TEXT,,"[""idYoP1c686SV9J"", ""bUGdhBKDawacZu"", ""KHvgFHZD1tTaLi""]",
CANVAS_STEP_ID,TEXT,,"[""yv7MsLZDhxsvCqE"", ""C5Zq2qIw3qGiJEs"", ""asgTItAwrEtd2AS""]",
APP_GROUP_API_ID,TEXT,,"[""wLBEMnQ2LarY5O"", ""JPCiP8CMOmZ9RI"", ""FgI5sMOtoYmKPh""]",
STRING_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  \""LV9xbZE6rqqlKz\"",\n  \""7CmmL1qWXoPLEs\"",\n  \""wi4K6AR6lwfIy0\"",\n  \""zOTS2hdzw1aZux\""\n]"", ""[\n  \""EfjZQJEUmDlfWV\"",\n  \""zZ1rcZYwUh2e4W\"",\n  \""MG1X7TxaJ4iXcH\"",\n  \""5Wc6B5tME2S2KC\""\n]"", ""[\n  \""wg5yfP7i40O1gr\"",\n  \""Z0q5agZkcfAcum\"",\n  \""U5U6hTIIqqPGYj\"",\n  \""6i6fhEGJZj1wqC\""\n]""]",
CANVAS_STEP_API_ID,TEXT,,"[""Jg0HS4EBOlfs1BH"", ""37lBgOGFFDFCS1D"", ""UbbyO9wSsGkalZy""]",
REVENUE,NUMBER,,"[925, 4810, 61]",
CANVAS_ID,TEXT,,"[""yiIkUq544eXpNs2"", ""zIgNDb2LQgs1lUA"", ""UDz5LG5SsriPQQT""]",
TIME,NUMBER,,"[1692588428, 1680251236, 1662940209]",
FLOAT_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.692012278000000e+09,\n  1.692012932000000e+09,\n  1.692012894000000e+09,\n  1.692011113000000e+09\n]"", ""[\n  1.679461685000000e+09,\n  1.679462218000000e+09,\n  1.679464459000000e+09,\n  1.679463601000000e+09\n]"", ""[\n  1.662662439000000e+09,\n  1.662661529000000e+09,\n  1.662661093000000e+09,\n  1.662660600000000e+09\n]""]",
DEVICE_ID,TEXT,,"[""SXaDZSwF7lwEqU"", ""VFQUoCCntfXgZL"", ""cNzm7PSOwZ7FGm""]",
BOOLEAN_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  true,\n  true,\n  true,\n  true\n]""]",
APP_GROUP_ID,TEXT,,"[""JyWFOSKn8bq"", ""OkIYT1HbF7u""]",
GENDER,TEXT,,"[""M"", ""F""]",
COUNTRY,TEXT,,"[""US""]",
ID,TEXT,,"[""h1RKh5oBZSBVsA"", ""HyblEDApYJIdI2"", ""uhWtL2PWiOsmyJ""]",
TIMEZONE,TEXT,,"[""Europe/Oslo"", ""America/New_York"", ""Asia/Singapore""]",
NUMBER_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.692010862000000e+09,\n  1.692011786000000e+09,\n  1.692011341000000e+09,\n  1.692012556000000e+09\n]"", ""[\n  1.679464552000000e+09,\n  1.679462993000000e+09,\n  1.679463681000000e+09,\n  1.679461524000000e+09\n]"", ""[\n  1.662661226000000e+09,\n  1.662662247000000e+09,\n  1.662662606000000e+09,\n  1.662662818000000e+09\n]""]",
CANVAS_STEP_MESSAGE_VARIATION_API_ID,TEXT,,"[""cRpPh8b"", ""0T8phyW"", ""cRAUYgi""]",
CANVAS_VARIATION_ID,TEXT,,"[""w25VSYk2UETsQI2"", ""iCwO3jzUyQBqpWc"", ""KDbdMDOEwpoyAys""]",
EXTERNAL_USER_ID,TEXT,,"[""BJj41V38now"", ""Mz3fhD5iTqH"", ""MA6hGax3m6u""]",
LANGUAGE,TEXT,,"[""en""]",
SF_CREATED_AT,TIMESTAMP_LTZ,,"[""2021-12-14 12:07:22.652000-08:00""]",
USER_ID,TEXT,,"[""2TUK8VfK43YyOKL"", ""2TY6pznpVMxXufY"", ""2TYqGRpREKEfgPX""]",
TIME_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1692011028,\n  1692011402,\n  1692011196,\n  1692012067\n]"", ""[\n  1679461722,\n  1679464017,\n  1679461765,\n  1679463613\n]"", ""[\n  1662660619,\n  1662661528,\n  1662663177,\n  1662662736\n]""]",
APP_ID,TEXT,,"[""cavgwlQbKmE"", ""WleeR6PnBPb""]",
APP_API_ID,TEXT,,"[""7Q5G5Zf"", ""ecIsyHL"", ""DYXWbec""]",
