column_name,column_type,column_description,sample_value,ref_key
APP_API_ID,TEXT,,"[""mIMMeG3"", ""PU9Jlzb"", ""ky6MzVo""]",
CANVAS_ID,TEXT,,"[""2YT9gI4yTHeYFxs""]",
SEND_ID,TEXT,,"[""zIYmTcEtQ0GXOP"", ""SyQ3JbMYPk0OUL"", ""wJNE1nDirxXa3v""]",
ID,TEXT,,"[""lraWvYWmgIUhgh"", ""E5I5IXKgWMulDA"", ""lJYPiVguhhpDxT""]",
LANGUAGE,TEXT,,"[""en""]",
USER_ID,TEXT,,"[""1NN0B328VhYWlPP"", ""0e1tuTYgcsv6IAk"", ""286365sStOGVfnF""]",
DISPATCH_ID,TEXT,,"[""s85LncHpNWfsqC"", ""kXgU5pafYhDPjy"", ""IESWWFWJ1cAyS8""]",
BROWSER,TEXT,,"[""aC7Kn3o"", ""dmeSl9g"", ""ZMgHxPN""]",
AD_TRACKING_ENABLED,BOOLEAN,,[true],
AD_ID,TEXT,,"[""RGYkmhZ"", ""UxBIyEV"", ""1YVHaqq""]",
MESSAGE_VARIATION_ID,TEXT,,"[""zqWcK4NaGTlAifb"", ""lZ0Md5YwXRMMosN"", ""rk0BIoNpR3SDv6h""]",
TIME_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1689801605,\n  1689802905,\n  1689800889,\n  1689800822\n]"", ""[\n  1683982683,\n  1683981366,\n  1683979235,\n  1683981311\n]"", ""[\n  1686107874,\n  1686107597,\n  1686109281,\n  1686109967\n]""]",
AD_ID_TYPE,TEXT,,"[""2KrdUPU"", ""8tb8Fl0"", ""58J7Dgd""]",
APP_ID,TEXT,,"[""cavgwlQbKmE"", ""WleeR6PnBPb""]",
NUMBER_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.689800556000000e+09,\n  1.689800951000000e+09,\n  1.689802049000000e+09,\n  1.689801931000000e+09\n]"", ""[\n  1.683980440000000e+09,\n  1.683979463000000e+09,\n  1.683980649000000e+09,\n  1.683980375000000e+09\n]"", ""[\n  1.686108455000000e+09,\n  1.686109830000000e+09,\n  1.686107953000000e+09,\n  1.686110272000000e+09\n]""]",
CANVAS_STEP_API_ID,TEXT,,"[""L3niksuUEbsIAFj""]",
RESOLUTION,TEXT,,"[""a6Spvvw"", ""sVrsh7H"", ""MMCzj0s""]",
CANVAS_STEP_MESSAGE_VARIATION_ID,TEXT,,"[""V69a0msZPYAAI5"", ""tjUpmf5kwNRn16"", ""DidU9MPRZXv2vv""]",
DEVICE_MODEL,TEXT,,"[""HUAWEI P30 PRO"", ""SAMSUNG GALAXY NOTE 10/10 PLUS""]",
PLATFORM,TEXT,,"[""android"", ""ios""]",
CARRIER,TEXT,,"[""GZPIvSY"", ""qsGHtc8"", ""qcWifB6""]",
EXTERNAL_USER_ID,TEXT,,"[""k8heG6cdrXz"", ""S1H4xZSxRyV"", ""GG9WMgnTAnk""]",
CANVAS_STEP_MESSAGE_VARIATION_API_ID,TEXT,,"[""C5D6OJsaWvkyrw"", ""sMUB8OMFzXXlsA"", ""mRsO7Vq1gNQ8nm""]",
CANVAS_STEP_ID,TEXT,,"[""3oBCvNvDCvjc7vn""]",
TIME,NUMBER,,"[1689801259, 1683981442, 1686109860]",
