column_name,column_type,column_description,sample_value,ref_key
NUMBER_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.647098634000000e+09,\n  1.647100490000000e+09,\n  1.647099298000000e+09,\n  1.647099058000000e+09\n]"", ""[\n  1.630518528000000e+09,\n  1.630518253000000e+09,\n  1.630517566000000e+09,\n  1.630518259000000e+09\n]"", ""[\n  1.670014393000000e+09,\n  1.670013082000000e+09,\n  1.670012149000000e+09,\n  1.670014154000000e+09\n]""]",
CANVAS_VARIATION_API_ID,TEXT,,"[""zFrWnKcfMZZA9w"", ""uP2mwOD2hGu3pO"", ""J2rzfVzc5LNZfo""]",
SEND_ID,TEXT,,"[""8sxoe0At7MgRdU"", ""alnPEJktHC1IEb"", ""Wd22SmpCEJhBwt""]",
STRING_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  \""FSuhdxAVsdYNeW\"",\n  \""UCcCCYA0sXRPxB\"",\n  \""0ffWt6L5usQ9ZG\"",\n  \""bDdv9STR2MZohW\""\n]"", ""[\n  \""kFxqbvKbh76RUJ\"",\n  \""cGHiRwJaazppaS\"",\n  \""ptI9KA3XQLR5wB\"",\n  \""jYYtkvErRAea41\""\n]"", ""[\n  \""fBigdvCZO4IOUe\"",\n  \""0D4EYsAHpdiQat\"",\n  \""wcABUlYjSfq2si\"",\n  \""y5yAG4aF6Sr5OP\""\n]""]",
COUNTRY,TEXT,,"[""US""]",
DISPATCH_ID,TEXT,,"[""gnptfnxCrQ50PR"", ""I2GL9lB3iF12CW"", ""SyKhwLWecB7872""]",
LANGUAGE,TEXT,,"[""en""]",
USER_ID,TEXT,,"[""0pHCMae0DJvh44u"", ""0Lc89t5Z52UyKMs"", ""0PLujIf8QeXuvKI""]",
BOOLEAN_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  true,\n  true,\n  true,\n  true\n]""]",
CANVAS_STEP_MESSAGE_VARIATION_ID,TEXT,,"[""TMoevyyZouiL1N"", ""OisJ9vX5WJOKwy"", ""Iw1eG1hhFkODBY""]",
CANVAS_STEP_ID,TEXT,,[],
CAMPAIGN_ID,TEXT,,"[""VVWaTYmo9pf3M7J"", ""CmQiLZnLknvg6jy"", ""nnhIrbhK5UHsTds""]",
CANVAS_STEP_MESSAGE_VARIATION_API_ID,TEXT,,"[""C9OF3P1mkrWHdA"", ""gGEv4yfLsemKAU"", ""BuGV1a0ybfzNbP""]",
EXTERNAL_USER_ID,TEXT,,"[""gQhJQBI1uD7"", ""14CU1mbaH3Z"", ""fZBwSGcYDTz""]",
TIMEZONE,TEXT,,"[""America/New_York"", ""Asia/Singapore"", ""Europe/Oslo""]",
CANVAS_STEP_API_ID,TEXT,,[],
CANVAS_VARIATION_ID,TEXT,,[],
SF_CREATED_AT,TIMESTAMP_LTZ,,"[""2021-12-14 11:13:47.108000-08:00"", ""2021-12-14 11:13:35.542000-08:00"", ""2021-12-14 11:13:44.050000-08:00""]",
IP_POOL,TEXT,,"[""jAU9BqQS1v3O2y"", ""opW29dlyUGfPx6"", ""8oGP3lJu5IzVt7""]",
CAMPAIGN_API_ID,TEXT,,"[""JSVKXz8fFgZfDQH"", ""EtoIdqlru5h6X9d"", ""JeROu6LZtsd9IeU""]",
CANVAS_API_ID,TEXT,,[],
TIME,NUMBER,,"[1647098836, 1630517331, 1670011479]",
DEVICE_ID,TEXT,,"[""pWzDzARzKOlCMi"", ""o2SouZbtaeIN3p"", ""FDKsbvGPPvODTn""]",
CANVAS_ID,TEXT,,[],
EMAIL_ADDRESS,TEXT,,"[""GA02yTDm@example.com"", ""U4Dy0fCC@braze-inc.com"", ""ncUHOGTR@gmail.com""]",
APP_GROUP_ID,TEXT,,"[""JyWFOSKn8bq"", ""OkIYT1HbF7u""]",
ID,TEXT,,"[""ppRgpnRx7bzAkJ"", ""eBsHqNYUGbJK7I"", ""lQgeZ0GiRu0LBW""]",
MESSAGE_VARIATION_API_ID,TEXT,,"[""OCvFFlS1gJ6Mzh"", ""2QcfPkxEB0KfF4"", ""lQovYvesnvGOPF""]",
FLOAT_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.647098512000000e+09,\n  1.647100604000000e+09,\n  1.647098698000000e+09,\n  1.647097657000000e+09\n]"", ""[\n  1.630517874000000e+09,\n  1.630516180000000e+09,\n  1.630518943000000e+09,\n  1.630518739000000e+09\n]"", ""[\n  1.670012683000000e+09,\n  1.670013245000000e+09,\n  1.670012607000000e+09,\n  1.670013957000000e+09\n]""]",
APP_GROUP_API_ID,TEXT,,"[""uHrhFXsF0xMs8u"", ""QaHzHR2bFKExpw"", ""UfudoXizz3IVyy""]",
GENDER,TEXT,,"[""M"", ""F""]",
MESSAGE_VARIATION_ID,TEXT,,"[""uLmXUiGQhxPN6Ib"", ""H1xkwFrWdFMwsil"", ""PsG2u78b6URadHw""]",
TIME_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1647100214,\n  1647098598,\n  1647100437,\n  1647100537\n]"", ""[\n  1630516777,\n  1630517602,\n  1630517725,\n  1630516170\n]"", ""[\n  1670014283,\n  1670013492,\n  1670011358,\n  1670011437\n]""]",
