column_name,column_type,column_description,sample_value,ref_key
CANVAS_STEP_API_ID,TEXT,,[],
STRING_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  \""lFdfFodH61Eh0M\"",\n  \""IdyhAnnLC4nR25\"",\n  \""aWIx6Xtt7PsxCT\"",\n  \""xY1tYlXMWl2RkP\""\n]"", ""[\n  \""MMTglSQat5ztz4\"",\n  \""pU23dgrKIbpTYz\"",\n  \""CVTPpT2RY8vC1b\"",\n  \""LV6SXidfDbp4Si\""\n]"", ""[\n  \""g94SL1OpLZVFXG\"",\n  \""Go5NJxuXRZL9ly\"",\n  \""DVNKnGiAJz7buV\"",\n  \""VdrnCEi98nJmoZ\""\n]""]",
IP_POOL,TEXT,,"[""ElBVVaUz1ozwLU"", ""jFtPajFHiibPwZ"", ""Jd9arBWEpo4MB4""]",
NUMBER_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.692490215000000e+09,\n  1.692493121000000e+09,\n  1.692491614000000e+09,\n  1.692492572000000e+09\n]"", ""[\n  1.683728297000000e+09,\n  1.683727245000000e+09,\n  1.683728183000000e+09,\n  1.683729001000000e+09\n]"", ""[\n  1.662646601000000e+09,\n  1.662645696000000e+09,\n  1.662648276000000e+09,\n  1.662647648000000e+09\n]""]",
EMAIL_ADDRESS,TEXT,,"[""KglcouJ5@braze-inc.com"", ""hpCHXOou@example.com"", ""bvXEJMF0@appboy-co.com""]",
GENDER,TEXT,,"[""F"", ""M""]",
FLOAT_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.692491245000000e+09,\n  1.692490970000000e+09,\n  1.692491516000000e+09,\n  1.692492618000000e+09\n]"", ""[\n  1.683727546000000e+09,\n  1.683729374000000e+09,\n  1.683729491000000e+09,\n  1.683729902000000e+09\n]"", ""[\n  1.662649092000000e+09,\n  1.662645772000000e+09,\n  1.662645970000000e+09,\n  1.662648860000000e+09\n]""]",
TIME_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1692490386,\n  1692489784,\n  1692493040,\n  1692492109\n]"", ""[\n  1683729427,\n  1683730515,\n  1683730320,\n  1683729535\n]"", ""[\n  1662647386,\n  1662646028,\n  1662647696,\n  1662646494\n]""]",
SEND_ID,TEXT,,"[""Cv5digJXVZhLn3"", ""9dEPnO58D0hFG7"", ""599ZQ1CkLI89ni""]",
CANVAS_VARIATION_ID,TEXT,,[],
DISPATCH_ID,TEXT,,"[""1jMC5hCeguoxjg"", ""u2AU9yq2b7vEI8"", ""fW5lXjNMXmh7P8""]",
CANVAS_VARIATION_API_ID,TEXT,,"[""89AeHuBCfVHSb7"", ""HfpxaQCVfZ52WR"", ""g3qiTC19tMSkbL""]",
LANGUAGE,TEXT,,"[""en""]",
CAMPAIGN_ID,TEXT,,"[""Ddj21be0wjvGSiu"", ""LPhSOYqLsEPT4of"", ""GgnNInQIhIkqoOL""]",
APP_GROUP_ID,TEXT,,"[""JyWFOSKn8bq"", ""OkIYT1HbF7u""]",
COUNTRY,TEXT,,"[""US""]",
DEVICE_ID,TEXT,,"[""SIjSXyiC3JTsnh"", ""i9ytgePAYorgnH"", ""5hv84mwnEX81FQ""]",
TIMEZONE,TEXT,,"[""America/Denver"", ""Europe/Oslo"", ""Indian/Chagos""]",
EXTERNAL_USER_ID,TEXT,,"[""yd4FxuKxg2W"", ""KvVIGYUc4Vn"", ""DJcV37TGsuq""]",
CANVAS_STEP_MESSAGE_VARIATION_ID,TEXT,,"[""Q8HZIC4OFGOFv4"", ""uBz1k4vOHWLMBi"", ""X4cdOakRqi2TFE""]",
CANVAS_STEP_MESSAGE_VARIATION_API_ID,TEXT,,"[""wzz3a5FLZ8jq2H"", ""L4597uq5SptWlt"", ""W9G88pN6iJqy66""]",
SF_CREATED_AT,TIMESTAMP_LTZ,,"[""2021-12-14 11:12:58.362000-08:00"", ""2021-12-14 11:14:06.304000-08:00"", ""2021-12-14 11:13:56.394000-08:00""]",
MESSAGE_VARIATION_ID,TEXT,,"[""3JQl6pQHCAY8fCs"", ""n9GydlUhTzh1Xbz"", ""pJE6JKtZErnpi1I""]",
USER_ID,TEXT,,"[""1vfwj68OLOgR9v5"", ""1w0LuKPp1OlLT9O"", ""1wfTQC0Whcq5Cwj""]",
BOOLEAN_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  true,\n  true,\n  true,\n  true\n]""]",
CANVAS_STEP_ID,TEXT,,[],
CAMPAIGN_API_ID,TEXT,,"[""P0thJQcCJ8ZcrCZ"", ""GAoxrjTvzg6ZyY1"", ""Fc4lKOh9Ylh65NI""]",
APP_GROUP_API_ID,TEXT,,"[""otdaPMs9S4qdia"", ""B3hVDxbDfeazeN"", ""3k9KjlNExJV28M""]",
CANVAS_ID,TEXT,,[],
MESSAGE_VARIATION_API_ID,TEXT,,"[""mbKcIMEzQr6XQj"", ""nWsf4jERn9IayR"", ""lrAvtEPKfSSNuv""]",
TIME,NUMBER,,"[1692506477, 1683736479, 1662673431]",
CANVAS_API_ID,TEXT,,[],
ID,TEXT,,"[""yrFVowfR9aWNcL"", ""XLpvC19YeuwWGg"", ""0LmIS52Nxr9l3u""]",
