column_name,column_type,column_description,sample_value,ref_key
FLOAT_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.692193377000000e+09,\n  1.692193121000000e+09,\n  1.692191882000000e+09,\n  1.692191635000000e+09\n]"", ""[\n  1.686473711000000e+09,\n  1.686472685000000e+09,\n  1.686473684000000e+09,\n  1.686471101000000e+09\n]"", ""[\n  1.688049423000000e+09,\n  1.688048934000000e+09,\n  1.688048898000000e+09,\n  1.688047936000000e+09\n]""]",
GENDER,TEXT,,"[""M"", ""F""]",
MESSAGE_VARIATION_API_ID,TEXT,,"[""0eastvCtgN7VY7"", ""jtuCaFIz1sHI6B"", ""NmdT38BAN3IYxr""]",
STRING_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  \""xiGuuwprxZvbwc\"",\n  \""VvVR8Rax6kjrpe\"",\n  \""YnxycYp8cnWnPx\"",\n  \""ZKC50sV8rSsIgx\""\n]"", ""[\n  \""b4gR3sfTlYpoiN\"",\n  \""1pWvpkjcmuHz24\"",\n  \""kocbwQdN9Oz7Ly\"",\n  \""jMKM9WROZJRZcV\""\n]"", ""[\n  \""11BWCf3BLPDLL0\"",\n  \""BcjJcefNM6n7Tf\"",\n  \""qXbR9EeHBOrKsy\"",\n  \""d71Erjv1zYj7SH\""\n]""]",
AD_ID,TEXT,,"[""ZAsbs7HwenYZl2"", ""q8kbjtf9vqbYzK"", ""TZq5kNNLoSU0gJ""]",
CARRIER,TEXT,,"[""TiUe2RFvKZBzJs"", ""5YBxkFRXMQHVW3"", ""YN9RW0Z7Qbq6ff""]",
LANGUAGE,TEXT,,"[""en""]",
APP_GROUP_ID,TEXT,,"[""JyWFOSKn8bq"", ""OkIYT1HbF7u""]",
CARD_API_ID,TEXT,,"[""ZdTcAxyMVx3jTA"", ""RGVCitGPiZsjuE"", ""rlDyHNGFjU3H9w""]",
DISPATCH_ID,TEXT,,"[""6QTQB7ak8ghomr"", ""3cZDgKzKHIwvuE"", ""SOtyBYmOGbnWrS""]",
CAMPAIGN_API_ID,TEXT,,"[""JKw2TUyoAScJFxy"", ""bV74HV0jLIuTIcg"", ""sURAoHE0T8w9ZK0""]",
CANVAS_VARIATION_ID,TEXT,,[],
APP_ID,TEXT,,"[""cavgwlQbKmE"", ""WleeR6PnBPb""]",
CANVAS_STEP_ID,TEXT,,[],
SDK_VERSION,TEXT,,"[""QHhfc43Nmced9A"", ""VXpvuQxuY7AXkf"", ""kkkTopGkjc3CIX""]",
MESSAGE_VARIATION_ID,TEXT,,"[""dqAGTt4cOXbkM3p"", ""Ym7vOugd2fV7Jnu"", ""lUcso2s2Aq6ijY6""]",
ID,TEXT,,"[""Vrs5wBkmynaMrL"", ""DlthiWzSPXY3tv"", ""WRx0QdJnMq336E""]",
AD_ID_TYPE,TEXT,,"[""sbZ9eycDfvOhYb"", ""OmxCyBx2oQLxBj"", ""c47YjiwCVd4Aky""]",
SF_CREATED_AT,TIMESTAMP_LTZ,,"[""2021-12-14 11:16:18.907000-08:00"", ""2021-12-14 11:16:27.257000-08:00"", ""2021-12-14 11:16:26.481000-08:00""]",
CANVAS_ID,TEXT,,[],
TIME,NUMBER,,"[1692216425, 1686473709, 1688074233]",
CANVAS_STEP_API_ID,TEXT,,[],
CANVAS_STEP_MESSAGE_VARIATION_ID,TEXT,,"[""tGTrsr6FEKV6OU"", ""fi9cZglzfQ8oB8"", ""zDycapMbdyzx3j""]",
USER_ID,TEXT,,"[""0StzR9b3ObtJo5o"", ""0SvWnuNhc1OayTG"", ""0Sva1UgITza1Cq2""]",
CANVAS_VARIATION_API_ID,TEXT,,"[""aWR187MqS3Z4yi"", ""WGfYxPMweCUqNt"", ""I4CGPj8hKXLpiM""]",
AD_TRACKING_ENABLED,BOOLEAN,,[true],
APP_GROUP_API_ID,TEXT,,"[""NDG1KPlLVtnw02"", ""jHw933rH8FRAGi"", ""eqGgcVOtSPgCLO""]",
OS_VERSION,TEXT,,"[""cvGec9js5ak2Lw"", ""rJHDfcamTJl58K"", ""So82t7RU2C63HK""]",
BUTTON_ID,TEXT,,"[""gpvbJmA"", ""F0KCRxT"", ""by7R8d6""]",
