column_name,column_type,column_description,sample_value,ref_key
MESSAGE_VARIATION_API_ID,TEXT,,"[""YEzLzY1JlgIVHl"", ""m9GbC2EQO8Aolv"", ""CDtH0Sp0o4F5oA""]",
TIME_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1689990222,\n  1689987680,\n  1689987823,\n  1689989978\n]"", ""[\n  1651391380,\n  1651388540,\n  1651389675,\n  1651388603\n]"", ""[\n  1680811211,\n  1680813006,\n  1680811531,\n  1680814672\n]""]",
DEVICE_ID,TEXT,,"[""7ms6uxHYinL8gS"", ""DeB7xmOm4JKqwk"", ""6MIA8UzZR53WVR""]",
CANVAS_ID,TEXT,,[],
GENDER,TEXT,,"[""M"", ""F""]",
USER_ID,TEXT,,"[""2TcIEwF3b000naI"", ""2TfnOwCCtafuJPi"", ""2UEp938n6Y3LWwN""]",
MESSAGE_VARIATION_ID,TEXT,,"[""okWUvcJtNoLwKCo"", ""YTg7alAK0JG0CDn"", ""xLjSkv862cKHQyu""]",
CANVAS_STEP_MESSAGE_VARIATION_ID,TEXT,,"[""GLY6T5pSVtV5b8"", ""9KlICT10HeF2rB"", ""RQPxlBvkX0tldt""]",
CANVAS_STEP_API_ID,TEXT,,[],
SEND_ID,TEXT,,"[""hJxqI2xxXFx1ty"", ""fic8jrunlltHGE"", ""AqImgdskObeQ5q""]",
APP_API_ID,TEXT,,"[""XCqUYstBRhRINK"", ""8M3uQ3o6h4MrYf"", ""6VhUY1X54Njjyq""]",
PLATFORM,TEXT,,"[""ios"", ""android""]",
FLOAT_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.689989981000000e+09,\n  1.689989075000000e+09,\n  1.689988442000000e+09,\n  1.689988078000000e+09\n]"", ""[\n  1.651388835000000e+09,\n  1.651391200000000e+09,\n  1.651390948000000e+09,\n  1.651390468000000e+09\n]"", ""[\n  1.680812541000000e+09,\n  1.680813970000000e+09,\n  1.680811625000000e+09,\n  1.680812469000000e+09\n]""]",
CAMPAIGN_API_ID,TEXT,,"[""gRN5B0M45GQ3W2E"", ""xX8qS8CX1R73GUa"", ""eRPpy9PvF8bp4Kx""]",
CANVAS_API_ID,TEXT,,[],
DISPATCH_ID,TEXT,,"[""anIQh6p0GXp5pM"", ""CSPY0D3p4x2934"", ""pq1OlQJ2OdRHiH""]",
PUSH_TOKEN,TEXT,,"[""OcHwgtCyVFwsrs"", ""4HskPgtnwEFfFV"", ""mW0HPOVANIFujf""]",
BOOLEAN_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  true,\n  true,\n  true,\n  true\n]""]",
AD_ID_TYPE,TEXT,,"[""APreEMinQABB7N"", ""eJh11LExF1NK5d"", ""uiB5Anx1cuDyXV""]",
