column_name,column_type,column_description,sample_value,ref_key
APP_GROUP_API_ID,TEXT,,"[""rtIajDAYds4UHB"", ""C92LOyMuendasF"", ""bX7jTjqg8wSuJj""]",
ID,TEXT,,"[""Rbacieazu3X4Oq"", ""4EU2xqSEUvc05e"", ""F52BaE4xJAHxQc""]",
CAMPAIGN_ID,TEXT,,"[""K0blOWyuAtQz5xc"", ""ZYR3WBarVMSB2aN"", ""sfpWhWLJvZqMD3H""]",
CANVAS_STEP_MESSAGE_VARIATION_API_ID,TEXT,,"[""FQgXTwxjzlHgkg"", ""BkJ2Pl08O9ooYT"", ""rABbLBFP8OpTE4""]",
SEND_ID,TEXT,,"[""TRYBKrqgVzFo9c"", ""oK93wmnhX6POw3"", ""Wu6g1pUhiAa57Z""]",
COUNTRY,TEXT,,"[""US""]",
CANVAS_STEP_API_ID,TEXT,,[],
CANVAS_ID,TEXT,,[],
APP_GROUP_ID,TEXT,,"[""JyWFOSKn8bq"", ""OkIYT1HbF7u""]",
CANVAS_VARIATION_API_ID,TEXT,,"[""JVePsMwBQNQO5Q"", ""FoGPRaIEaRqZjQ"", ""gW46G1bG9MvNOi""]",
DEVICE_ID,TEXT,,"[""TLYLIXrkthErNP"", ""8G4dlqGL59sTQz"", ""MbBxlbQ7gA5tob""]",
CAMPAIGN_API_ID,TEXT,,"[""lHLMryDA4RZG1lQ"", ""dZxJPTdWL5rJhHi"", ""T1HRduDPZTvyuuv""]",
LANGUAGE,TEXT,,"[""en""]",
MESSAGE_VARIATION_API_ID,TEXT,,"[""JLBJQVVEfC10dT"", ""CHWJ7sFo71yuRm"", ""vWvm3V0p73JSoj""]",
TIME,NUMBER,,"[1690656405, 1685596121, 1675172377]",
USER_ID,TEXT,,"[""09Rf6A4UazSxqy5"", ""1PFWtKcUD3Zgq2f"", ""1QTVS1qYeKijQft""]",
CANVAS_API_ID,TEXT,,[],
TIMEZONE,TEXT,,"[""Asia/Singapore"", ""Europe/Oslo"", ""America/New_York""]",
SF_CREATED_AT,NUMBER,,"[1690654604, 1685596487, 1675170486]",
FROM_PHONE_NUMBER,TEXT,,"[""ZrORwxL"", ""uPR7e8c"", ""anomgJd""]",
EXTERNAL_USER_ID,TEXT,,"[""v3NAxeV3484"", ""f1WXwyhhoDo"", ""UgGgN28J2qi""]",
SUBSCRIPTION_GROUP_API_ID,TEXT,,"[""fEwI7JemLQQYvZ"", ""xLc4NxutstAOLI"", ""qxGGbGxM7QB1Sh""]",
DISPATCH_ID,TEXT,,"[""QpzaiBz7nvKdwP"", ""V6tUgRAEp7mKoo"", ""9MAsXjhGKFTnHV""]",
GENDER,TEXT,,"[""M"", ""F""]",
TO_PHONE_NUMBER,TEXT,,"[""KyCj6k9KiXBYIh"", ""Rjtm4gP3bOd9xu"", ""LrDeWxz472hKAe""]",
