column_name,column_type,column_description,sample_value,ref_key
TIMEZONE,TEXT,,"[""Europe/Oslo"", ""America/Denver"", ""Indian/Chagos""]",
GENDER,TEXT,,"[""F""]",
CANVAS_STEP_MESSAGE_VARIATION_API_ID,TEXT,,"[""2VNzR7S73gVWxK"", ""07UfBRe0vWDNVt"", ""xlQn83oKhcWpqk""]",
APP_GROUP_ID,TEXT,,"[""OkIYT1HbF7u"", ""JyWFOSKn8bq""]",
EXTERNAL_USER_ID,TEXT,,"[""kY6nWVch4Eg"", ""JGSiJCA5fdv"", ""sRC1TPFvrsz""]",
SF_CREATED_AT,NUMBER,,"[1652560413, 1674043514, 1686862096]",
ID,TEXT,,"[""cIazJqze8fPC8A"", ""Yy3b695g027yTq"", ""hDhhAtuGiBmSN7""]",
SUBSCRIPTION_GROUP_API_ID,TEXT,,"[""MmWNLV58L0bXQr"", ""3vhCjRuspwMOsW"", ""bU6HaY20X1kF9z""]",
APP_GROUP_API_ID,TEXT,,"[""SaytzTZ9anNopn"", ""0WMAxfqdwTcCDH"", ""ROuaHpJx0bSsUs""]",
PROVIDER_ERROR_CODE,TEXT,,"[""d0aeG5I"", ""wFytPjY"", ""zl7Fo0n""]",
LANGUAGE,TEXT,,"[""en""]",
TIME,NUMBER,,"[1652560172, 1674044042, 1686861385]",
DISPATCH_ID,TEXT,,"[""Y7QhOIq86gyBC7"", ""Pk8deUtWxvOf8C"", ""OTiIif2Dk8bSoC""]",
SEND_ID,TEXT,,"[""z9CnVP5HfQnKdL"", ""WizHmzBA5x12zX"", ""gLyTbGXuTA4Jph""]",
FROM_PHONE_NUMBER,TEXT,,"[""wXqFhcV"", ""JXwbUtO"", ""dvRmhfG""]",
CAMPAIGN_API_ID,TEXT,,"[""b4NASCcg51a31R2"", ""Zzq0L8NNmtAJIRI"", ""v9f8biqw7bTiP49""]",
CAMPAIGN_ID,TEXT,,"[""lwL10h13a2sVqKb"", ""Ab6KI1KKIVb8eNo"", ""UrXt9Gxaf0S2AuQ""]",
MESSAGE_VARIATION_API_ID,TEXT,,"[""WKhpFduEb75Rxy"", ""jw7NL25aUypPwg"", ""026T156JzQjJFt""]",
CANVAS_STEP_API_ID,TEXT,,[],
USER_ID,TEXT,,"[""0xV9pOaifKUT3Ub"", ""0xV96rZuoJVkA3l"", ""0xV7idob8tMcMmJ""]",
DEVICE_ID,TEXT,,"[""m4jLIpNLrvqfGn"", ""vPOrvNhoE1NDT0"", ""czbkEF2mOboRFx""]",
CANVAS_VARIATION_API_ID,TEXT,,"[""IX4x6B8tS6zH5H"", ""ml7CNnjeJcyp14"", ""QcMokl2F3skfzw""]",
CANVAS_API_ID,TEXT,,[],
ERROR,TEXT,,"[""A4vYOzI"", ""QLWmUyX"", ""dPPJjTv""]",
COUNTRY,TEXT,,"[""US""]",
TO_PHONE_NUMBER,TEXT,,"[""9KkFCPPw8YNj88"", ""LZgOMUnAKrJfl0"", ""t4iXr1pmueZPI1""]",
CANVAS_ID,TEXT,,[],
