column_name,column_type,column_description,sample_value,ref_key
APP_GROUP_ID,TEXT,,"[""JyWFOSKn8bq"", ""OkIYT1HbF7u""]",
CANVAS_STEP_MESSAGE_VARIATION_ID,TEXT,,"[""qffpLUQewcvvEI"", ""xFfdRNbTIBaPL1"", ""n86hpLxsDt3TSf""]",
STRING_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  \""GHwDMNF5PEDS5V\"",\n  \""m962RapMFBzhM1\"",\n  \""1fcXQC0ZohzG7t\"",\n  \""hpOuATlmgBO7LT\""\n]"", ""[\n  \""Ihh0ExUXP3UIyA\"",\n  \""jgQUFWO1gCSrlx\"",\n  \""mgNgocOkfzZZuE\"",\n  \""ymBZcv9TAve2Ed\""\n]"", ""[\n  \""PlA52dt45ZkTic\"",\n  \""89hvzEBuCOQ903\"",\n  \""85JB8QwVOnJzC4\"",\n  \""p63q8Mtp45xiq4\""\n]""]",
FROM_PHONE_NUMBER,TEXT,,"[""wyn2rHl"", ""mqvCvj1"", ""k0RgJFP""]",
SEND_ID,TEXT,,"[""Eqtb6OlD3iBMIR"", ""nY5EvVFtAhq5VD"", ""IBtL9IPeNQ2GNi""]",
LANGUAGE,TEXT,,"[""en""]",
CANVAS_ID,TEXT,,[],
MESSAGE_VARIATION_ID,TEXT,,"[""4rKG2pzRORJFh9F"", ""QCAqiFv9IvvTWEE"", ""9NKX0gPNfzXQhby""]",
EXTERNAL_USER_ID,TEXT,,"[""vQUPEYaAExB"", ""qd3aWwUtfLT"", ""A3V9d417rw7""]",
ERROR,TEXT,,"[""8EDInew"", ""1ZHouSS"", ""LNhHVm1""]",
SUBSCRIPTION_GROUP_API_ID,TEXT,,"[""1tWYrUhlpLA7Es"", ""GIDh33Q3br7MBB"", ""KDB0IxQFxwtCQd""]",
NUMBER_CUSTOM_ATTRIBUTES,ARRAY,,"[""[\n  1.645251656000000e+09,\n  1.645251492000000e+09,\n  1.645253092000000e+09,\n  1.645252005000000e+09\n]"", ""[\n  1.650222283000000e+09,\n  1.650224457000000e+09,\n  1.650222134000000e+09,\n  1.650222604000000e+09\n]"", ""[\n  1.638862104000000e+09,\n  1.638860886000000e+09,\n  1.638861901000000e+09,\n  1.638862086000000e+09\n]""]",
