column_name,column_type,column_description,sample_value,ref_key
id_google_entity_id,TEXT,,"[""kg:/m/01x68t"", ""kg:/m/033d3p"", ""kg:/m/01xh64""]",
birthday,TEXT,,"[""1958-10-13"", ""1954-01-01"", ""1950-04-29""]",
id_fec_0,TEXT,,"[""S8WA00194"", ""H2NJ13075"", ""S8MI00281""]",
id_opensecrets,TEXT,,"[""N00007836"", ""N00000699"", ""N00004118""]",
other_names_end,TEXT,,"[""""]",
id_house_history,FLOAT,,"[10608.0, 18124.0, 22090.0]",
other_names_middle,TEXT,,"[""""]",
nickname,TEXT,,"["""", ""Bob""]",
id_thomas,FLOAT,,"[172.0, 791.0, 1531.0]",
id_cspan,FLOAT,,"[26137.0, 29608.0, 45451.0]",
gender,TEXT,,"[""F"", ""M""]",
id_wikipedia,TEXT,,"[""Maria Cantwell"", ""Bob Menendez"", ""Debbie Stabenow""]",
first_name,TEXT,,"[""Maria"", ""Robert"", ""Debbie""]",
id_bioguide_previous_0,TEXT,,"[""""]",
id_fec_2,TEXT,,"[""""]",
other_names_last,TEXT,,"["""", ""Menendez""]",
id_bioguide,TEXT,,"[""C000127"", ""M000639"", ""S000770""]",
last_name,TEXT,,"[""Cantwell"", ""Menendez"", ""Stabenow""]",
id_govtrack,NUMBER,,"[300018, 400272, 300093]",
id_icpsr,FLOAT,,"[39310.0, 29373.0, 29732.0]",
id_lis,TEXT,,"[""S275"", ""S306"", ""S284""]",
full_name,TEXT,,"[""Maria Cantwell"", ""Robert Menendez"", ""Debbie Stabenow""]",
id_fec_1,TEXT,,"[""H2WA01054"", ""S6NJ00289"", ""H6MI08163""]",
id_wikidata,TEXT,,"[""Q22250"", ""Q888132"", ""Q241092""]",
middle_name,TEXT,,"["""", ""Ann"", ""F.""]",
id_house_history_alternate,FLOAT,,[],
id_ballotpedia,TEXT,,"[""Maria Cantwell"", ""Bob Menendez"", ""Debbie Stabenow""]",
suffix,TEXT,,"[""""]",
id_votesmart,FLOAT,,"[27122.0, 26961.0, 515.0]",
