column_name,column_type,column_description,sample_value,ref_key
facility_readmission_measures_count,TEXT,Number of Readmission measures used in the hospital’s overall star rating,"[""1""]",
safety_measures_better_count,TEXT,Number of Safety of care measures that are better than the national value,"[""0""]",
patient_experience_measures_count,TEXT,Count of measures included in the Patient experience measure group,"[""8""]",
city,TEXT,,"[""BIRMINGHAM"", ""SELLS"", ""LAVEEN""]",
state,TEXT,,"[""AL"", ""AZ"", ""FL""]",
safety_measures_count,TEXT,Count of measures included in the Safety of Care measure group,"[""8""]",
provider_id,TEXT,,"[""010018"", ""030074"", ""030136""]",
meets_criteria_for_promoting_interoperability_of_ehrs,BOOLEAN,,[true],
facility_patient_experience_measures_count,TEXT,Number of Patient experience measures used in the hospital’s overall star rating,"[""Not Available""]",
county_name,TEXT,,"[""Jefferson"", ""Pima"", ""Maricopa""]",
readmission_measures_worse_count,TEXT,Number of Readmission measures that are worse than the national value,"[""0""]",
patient_experience_measures_footnote,TEXT,Footnote about Patient experience measures,"[""5""]",
readmission_measures_footnote,TEXT,Footnote about Readmission measures,[],
safety_measures_worse_count,TEXT,Number of Safety of care measures that are worse than the national value,"[""0""]",
hospital_type,TEXT,,"[""Acute Care Hospitals""]",
hospital_overall_rating_footnote,TEXT,,"[""16""]",
facility_timely_and_effective_care_measures_count,TEXT,Number of Timely and effective care measures used in the hospital’s overall star rating,"[""3"", ""Not Available"", ""9""]",
timely_and_effective_care_measures_count,TEXT,Count of measures included in the Timely and effective care measure group,"[""14""]",
zip_code,TEXT,,"[""35233"", ""85634"", ""85339""]",
mortaility_group_footnote,TEXT,Footnote about Mortality measures,"[""5""]",
mortality_group_measure_count,TEXT,Count of measures included in the Mortality measure group,"[""7""]",
address,TEXT,,"[""1720 UNIVERSITY BLVD, SUITE 500"", ""HIGHWAY 86, AT TOPAWA ROAD"", ""7171 SOUTH 51ST AVENUE""]",
hospital_name,TEXT,,"[""CALLAHAN EYE HOSPITAL"", ""SELLS HOSPITAL"", ""DIGNITY HEALTH - ARIZONA GENERAL HOSPITAL""]",
mortality_measures_worse_count,TEXT,Number of Mortality measures that are worse than the national value,"[""Not Available""]",
safety_measures_no_different_count,TEXT,Number of Safety of care measures that are no different than the national value,"[""1""]",
phone_number,TEXT,,"[""(205) 325-8100"", ""(520) 362-7003"", ""(623) 584-5100""]",
emergency_services,BOOLEAN,,"[true, false]",
facility_care_safety_measures_count,TEXT,Number of Safety of care measures used in the hospital’s overall star rating,"[""1""]",
readmission_measures_better_count,TEXT,Number of Readmission measures that are better than the national value,"[""0""]",
readmission_measures_no_different_count,TEXT,Number of Readmission measures that are no different than the national value,"[""1""]",
timely_and_effective_care_measures_footnote,TEXT,Footnote about Timely and effective care measures,"[""5""]",
readmission_measures_count,TEXT,Count of measures included in the Readmission measure group,"[""11""]",
safety_group_footnote,TEXT,Footnote about Safety of care measures,[],
mortality_measures_no_different_count,TEXT,Number of Mortality measures that are no different than the national value,"[""Not Available""]",
hospital_ownership,TEXT,,"[""Voluntary non-profit - Private"", ""Tribal"", ""Proprietary""]",
hospital_overall_rating,TEXT,,"[""Not Available""]",
facility_mortaility_measures_count,TEXT,Number of Mortality measures used in the hospital’s overall star rating,"[""Not Available""]",
mortality_measures_better_count,TEXT,Number of Mortality measures that are better than the national value,"[""Not Available""]",
