column_name,column_type,column_description,sample_value,ref_key
total_stays,NUMBER,Total number of skilled nursing facility stays.,"[45, 18, 59]",
average_length_of_stay_days,NUMBER,"Average lenth of stay, in days, for all Medicare beneficiaries with at least one stay in the skilled nursing facility in the year.","[13, 9, 12]",
distinct_beneficiaries_per_provider,NUMBER,"Number of distinct Medicare beneficiaries with at least one skilled nursing facility day per provider. A beneficiary will only be counted once per provider, but may be double-counted across providers.","[45, 18, 54]",
provider_id,TEXT,The 6-digit identification number for the skilled nursing facility on the claim.,"[""20006"", ""10007"", ""10044""]",
city,TEXT,"The city where the skilled nursing facility is located, as reported in the POS file.","[""PALMER"", ""OPP"", ""HAMILTON""]",
total_snf_medicare_allowed_amount,NUMBER,"Total Medicare allowed amount for all Medicare stays in the year. This figure is the sum of the amount Medicare pays, the deductible and coinsurance amounts that the beneficiary is responsible for paying, and any amounts that a third party is responsible for paying.","[219316, 38506, 228515]",
total_snf_charge_amount,NUMBER,Total of the charges that the skilled nursing facility submitted for all Medicare stays in the year.,"[2206195, 161776, 1392637]",
state,TEXT,"The state where the skilled nursing facility is located, as reported in POS file. The fifty U.S. states and the District of Columbia are reported by the state postal abbreviation.","[""AK"", ""AL""]",
facility_name,TEXT,"The skilled nursing facility name, as reported in the POS file.","[""MAT-SU REGIONAL MEDICAL CENTER"", ""MIZELL MEMORIAL HOSPITAL"", ""MARION REGIONAL MEDICAL CENTER""]",
street_address,TEXT,"The skilled nursing facility address, as reported in the POS file.","[""2500 SOUTH WOODWORTH LOOP"", ""702 N MAIN ST"", ""1256 MILITARY STREET SOUTH""]",
zip_code,NUMBER,"The skilled nursing facility’s zip code, as reported in the POS file.","[99645, 36467, 35570]",
total_snf_medicare_standard_payment_amount,NUMBER,"Total amount that Medicare paid for all Medicare stays in the year after deductible and coinsurance amounts have been deducted, adjusted for geographic differences in payment rates.","[171908, 47578, 279789]",
total_snf_medicare_payment_amount,NUMBER,Total amount that Medicare paid for all Medicare stays in the year after deductible and coinsurance amounts have been deducted.,"[200372, 38506, 227775]",
