column_name,column_type,column_description,sample_value,ref_key
provider_state,TEXT,The state in which the provider is physically located,"[""MA""]",
average_estimated_submitted_charges,FLOAT,The number of services billed by the provider for outpatient hospital services,"[150.0, 370.0, 472.0]",
provider_zipcode,TEXT,The zip code in which the provider is physically located,"[""01040""]",
hospital_referral_region,TEXT,Code and description identifying the APC. APCs are a classification system where individual services (Healthcare Common Procedure Coding System [HCPCS] codes) are assigned based on similar clinical characteristics and similar costs,"[""MA - Springfield""]",
provider_street_address,TEXT,The street address in which the provider is physically located,"[""575 BEECH STREET""]",
average_total_payments,FLOAT,The provider's average estimated submitted charge for services covered by Medicare for the APC. These will vary from hospital to hospital because of differences in hospital charge structures,"[74.0, 124.0, 363.0]",
outpatient_services,NUMBER,The number of discharges billed by the provider for inpatient hospital services,"[32, 52, 167]",
provider_name,TEXT,The name of the provider,"[""HOLYOKE MEDICAL CENTER""]",
provider_city,TEXT,The city in which the provider is physically located,"[""HOLYOKE""]",
apc,TEXT,The code and description identifying the MS-DRG. MS-DRGs are a classification system that groups similar clinical conditions (diagnoses) and the procedures furnished by the hospital during the stay,"[""0013 - Level II Debridement & Destruction"", ""0015 - Level III Debridement & Destruction"", ""0019 - Level I Excision/ Biopsy""]",
provider_id,TEXT,The CMS Certification Number (CCN) of the provider billing for outpatient hospital services,"[""220024""]",
