column_name,column_type,column_description,sample_value,ref_key
organism,TEXT,,"[""Homo sapiens""]",
uniprotkb_id,TEXT,,"[""Q8N5G2"", ""Q68DC6"", ""Q5JWZ0""]",
chromosome,TEXT,,"[""1"", ""20""]",
aliquot_submitter_id,TEXT,,"[""12110cb8-8da4-4461-ac1a-1af490_D2"", ""CPT001846-0005"", ""ffc76bfb-61f6-4492-a782-c23321_D2""]",
uniprotkb_ids,TEXT,,"[""Q8N5G2"", ""O43439;Q68DC6"", ""B0QYY0;F8WCQ1;Q5JWZ0;Q5JXL1;Q9BVI0""]",
proteins,TEXT,,"[""NP_001269493.1;NP_060672.2;Q8N5G2;Q8N5G2-2;Q8N5G2-3;XP_005245988.1;XP_011540006.1"", ""NP_001028171.1;NP_001034798.1;NP_005084.1;O43439;O43439-2;O43439-3;O43439-4;O43439-5;Q68DC6;XP_011527403.1;XP_011527404.1;XP_011527405.1;XP_011527409.1;XP_016883610.1;XP_016883611.1;XP_016883612.1;XP_016883613.1;XP_016883614.1"", ""B0QYY0;F8WCQ1;NP_057520.2;Q5JWZ0;Q5JXL1;Q9BVI0;Q9BVI0-2;XP_005260478.1;XP_011527145.1;XP_011527146.1;XP_016883353.1;XP_016883354.1;XP_016883355.1;XP_016883356.1;XP_016883357.1;XP_016883358.1;XP_016883359.1;XP_016883360.1""]",
assays,TEXT,,[],
protein_abundance_log2ratio,FLOAT,,"[0.2409, -0.4721, 0.5173]",
gene_id,TEXT,,"[""c3d02427-419c-11e9-9a07-0a80fada099c"", ""f7676a67-b814-11e8-907f-0a2705229b82"", ""f9b364ac-b814-11e8-907f-0a2705229b82""]",
NCBI_gene_id,TEXT,,"[""55219"", ""9139"", ""51230""]",
case_id,TEXT,,"[""3280026a-0a5d-11eb-bc0e-0aad30af8a83"", ""327f6928-0a5d-11eb-bc0e-0aad30af8a83"", ""327f7984-0a5d-11eb-bc0e-0aad30af8a83""]",
aliquot_run_metadata_id,TEXT,,"[""9dc0bd4f-1262-42ea-8686-2986d250c094"", ""a77b0b17-c071-4647-98f4-3089927cdabe"", ""b7411380-698c-4649-b810-71f7ed9a0d9e""]",
aliquot_id,TEXT,,"[""3281c9e0-0a5d-11eb-bc0e-0aad30af8a83"", ""328137e3-0a5d-11eb-bc0e-0aad30af8a83"", ""3281496e-0a5d-11eb-bc0e-0aad30af8a83""]",
study_name,TEXT,,"[""Prospective Breast BI Proteome""]",
authority_gene_id,TEXT,,"[""25572"", ""1536"", ""16098""]",
sample_id,TEXT,,"[""3281171f-0a5d-11eb-bc0e-0aad30af8a83"", ""32802eef-0a5d-11eb-bc0e-0aad30af8a83"", ""32803fbc-0a5d-11eb-bc0e-0aad30af8a83""]",
locus,TEXT,,"[""1p36.11|1p36.11"", ""20q11.21-q11.22"", ""20q11.22-q11.23""]",
gene_description,TEXT,,"[""macoilin 1"", ""CBFA2/RUNX1 translocation partner 2"", ""PHD finger protein 20""]",
authority,TEXT,,"[""HGNC""]",
gene_symbol,TEXT,,"[""MACO1"", ""CBFA2T2"", ""PHF20""]",
