column_name,column_type,column_description,sample_value,ref_key
itemQuantity,NUMBER,,[],
productPrice,NUMBER,,[9990000],
v2ProductCategory,TEXT,,"[""Home/Shop by Brand/Android/""]",
channelGrouping,TEXT,,"[""Organic Search"", ""Social""]",
date,TEXT,,"[""20170501"", ""20170507"", ""20170628""]",
timeOnSite,NUMBER,,"[155, 156, 55]",
fullVisitorId,TEXT,,"[""841874072879545751"", ""8094864053975342083"", ""5716638245109939617""]",
productRevenue,NUMBER,,[],
pageTitle,TEXT,,"[""Android | Shop by Brand | Google Merchandise Store""]",
visitId,NUMBER,,"[1493653088, 1494218402, 1498686927]",
city,TEXT,,"[""not available in demo dataset"", ""Hong Kong"", ""Milpitas""]",
sessionQualityDim,NUMBER,,[],
productRefundAmount,NUMBER,,[],
productQuantity,NUMBER,,[],
transactions,NUMBER,,[],
transactionRevenue,NUMBER,,[],
itemRevenue,NUMBER,,[],
searchKeyword,TEXT,,[],
transactionId,TEXT,,[],
type,TEXT,,"[""PAGE""]",
currencyCode,TEXT,,"[""USD""]",
v2ProductName,TEXT,,"[""Android Spiral Journal with Pen""]",
pagePathLevel1,TEXT,,"[""/store.html"", ""/google+redesign/""]",
country,TEXT,,"[""Mexico"", ""Hong Kong"", ""United States""]",
eCommerceAction_type,TEXT,,"[""0""]",
pageviews,NUMBER,,"[5, 3, 10]",
productVariant,TEXT,,"[""(not set)""]",
totalTransactionRevenue,NUMBER,,[],
productSKU,TEXT,,"[""GGOEAOCH077899""]",
time,NUMBER,,"[123268, 156025, 24868]",
eCommerceAction_step,NUMBER,,[1],
eCommerceAction_option,TEXT,,[],
