column_name,column_type,column_description,sample_value,ref_key
ADDRESS,TEXT,Stree-level address of the bank,"[""304 Meeting St"", ""183 Bayard Ln"", ""206 W Ferguson St""]",
STATE_ABBREVIATION,TEXT,State of the bank,"[""SC"", ""NJ"", ""TX""]",
NAME,TEXT,Name of the bank,"[""First Capital Bank"", ""The Bank of Princeton"", ""Lone Star National Bank""]",
ID_COUNTRY,TEXT,A unique geographic identifier for the country where the bank is located,"[""country/USA""]",
NAICS_CODE,TEXT,NAICS code of the primary activity conducted by an entity.,"[""52211""]",
ID_STATE,TEXT,A unique geographic identifier for the state where the bank is located,"[""geoId/45"", ""geoId/34"", ""geoId/48""]",
ID_ZIP,TEXT,A unique geographic identifier for the zip code where the bank is located,"[""zip/29401"", ""zip/08540"", ""zip/78577""]",
FEDERAL_REGULATOR,TEXT,"The abbreviation for the banking regulator (OCC, FED, FDIC)","[""FDIC"", ""OCC""]",
LEGAL_ENTITY_IDENTIFIER,TEXT,Code to identify a legally distinct entity that engages in a financial transaction. Issued by approved local operating units around the world in conjunction with the Global LEI Foundation.,"[""254900LDLCTUL5TXVH85"", ""549300EMC7T53UNNNA58"", ""549300IRQPG1Q6VZ8Y58""]",
FDIC_CERT,NUMBER,A unique identifier for the financial institution assigned by the FDIC,"[34966, 58513, 24347]",
SPECIALIZATION_GROUP,TEXT,"Specialization Group from FDIC, defined as Asset Concentration Hierarchy (e.g., Agricultural Specialization)","[""Commercial Lending Specialization"", ""All Other Under 1 Billion"", ""Other Specialized Under 1 Billion""]",
ZIP_CODE,TEXT,Zip code of the bank,"[""29401"", ""08540"", ""78577""]",
REASON_FOR_ENTITY_TERMINATION,NUMBER,The circumstances under which an entity ceased to exist or an indicator that an entity failed but remained open.,[],
ID_COUNTY,TEXT,A unique geographic identifier for the county where the bank is located,"[""geoId/45019"", ""geoId/34021"", ""geoId/48215""]",
START_DATE,TIMESTAMP_NTZ,First date for which the bank was open,"[""1999-09-27 00:00:00"", ""2007-04-23 00:00:00"", ""1983-01-24 00:00:00""]",
EMPLOYER_IDENTIFICATION_NUMBER,TEXT,"Employer identification number (EIN), a number assigned to a business by the Internal Revenue Service, effective 2008-12-31.","[""571084848"", ""680645074"", ""742237409""]",
INSURER,TEXT,Indicates whether an institution is insured under the Deposit Insurance Fund (DIF).,"[""DIF""]",
CHARTERING_AUTHORITY,TEXT,"The level of the chartering agency of the institution (State, Federal)","[""State"", ""Federal""]",
MAJORITY_OWNED_BY_MINORITY_OR_WOMEN,TEXT,"Indicates whether the entity is more than 50% owned by one or more minorities or women with identification of the minority. If the ownership is by a woman who is also a member of a minority, the item is coded as minority. Not all codes provided by the FFIEC data were mapped in the reference data","[""Hispanic""]",
END_DATE,TIMESTAMP_NTZ,Last date for which the bank was open. NULL if still active,[],
ENTITY_TYPE,TEXT,"The institution grouping for the bank (National Bank, Non-member Bank, etc.)","[""State Member Bank"", ""Non-member Bank"", ""National Bank""]",
IS_ACTIVE,BOOLEAN,Status of the bank to determine active or closed,[true],
THRIFT_ID,TEXT,"A unique identifier for the financial institution assigned by the Office of Thrift Supervision, last 5 characters only","[""13156""]",
ID_RSSD,NUMBER,A unique identifier assigned by the Federal Reserve for the financial institution,"[2849463, 3595271, 842460]",
CITY,TEXT,City of the bank,"[""Charleston"", ""Princeton"", ""Pharr""]",
CATEGORY,TEXT,Category for the entity,"[""Bank""]",
CHARTER_TYPE,TEXT,"The particular charter assigned to the bank (Industrial Bank, Commercial Bank, etc.)","[""Commercial Bank""]",
INTERNATIONAL_BANKING_FACILITY,BOOLEAN,Indicates whether an entity has an International Banking Facility.,[false],
URL,TEXT,Link to the bank website,"[""www.fcbcarolinas.com"", ""WWW.THEBANKOFPRINCETON.COM"", ""www.lonestarnationalbank.com""]",
OCC_ID,NUMBER,A unique identifier for the financial institution assigned by the Office of the Comptroller of the Currency,[17611.0],
