column_name,column_type,column_description,sample_value,ref_key
BUSINESS_SERVICE_PROVIDER_EMAIL,TEXT,Email of the point of contact at the business service provider.,"[""rajat.chawla@stratrich.com"", ""info@xpand2x.com"", ""amber@amalgagroup.com""]",
BUSINESS_SERVICE_PROVIDER_CONTACT,TEXT,Main point of contact for inquiries and requests at the business service provider.,"[""Rajat Chawla, Chief Business Officer"", ""Mark Gilbert-Smith, Ceo And Founder"", ""Amber Talley, Vp Of Business Development""]",
BUSINESS_SERVICE_PROVIDER_WEBSITE,TEXT,Website of the business service provider.,"[""https://stratrich.com/"", ""https://xpand2x.com"", ""https://amalgagroup.com""]",
BUSINESS_SERVICE_PROVIDER_DESCRIPTION,TEXT,Description of the business service provider.,"[""Stratrich Consulting is an international expansion partner for businesses from the U.S. and other countries. It helps them in navigating the complexities of doing business in India and middle east countries by offering tailored solutions for market entry, entity formation, and other professional services."", ""Xpand2X brings vendors from outside the EU into the DACH area and acts just as they are having their own subsidiary here.\r\nXpand2X provides native speaking tech support and RMA services in the economically strongest part of Europe - the German speaking DACH area.\r\nXpand2X offers classic sales agency services. Our experts proactively represent our vendors and push product sales through distributors, retailers or resellers.\r\nXpand2X offers Amazon marketing service in Europe and in the US."", ""Amalga Group is a Texas and Mexico-based staffing, recruiting and HR company specialized in providing world-class talent and a full suite of HR services to US companies with operations in Mexico. With deep experience in the manufacturing, IT and BPO sectors, we are the perfect on-the-ground resource for US companies new to Mexico as well as those with a long-standing presence in the country. We build teams of top-tier talent as well as providing all back office HR functions in Mexico.""]",
INTERNATIONAL_TRADE_ADMINISTRATION_EMAIL,TEXT,Email of the associated International Trade Administration office.,"[""antappa.badigair@trade.gov"", ""ulrike.riegeler@trade.gov"", ""alejandra.calderon@trade.gov""]",
GEO_ID_COUNTRY,TEXT,Unique geographic identifier for the country of the business service provider.,"[""country/IND"", ""country/DEU"", ""country/MEX""]",
BUSINESS_SERVICE_PROVIDER_ADDRESS,TEXT,Address of the business service provider.,"[""Third Floor, B-151, Sector 6\r\nNoida Uttar Pradesh, 201301 India"", ""Trausnitzstraße 8,\r\n81671 Munich, Germany"", ""13359 N HIGHWAY 183 # 406-1158\r\nAUSTIN TX United States""]",
BUSINESS_SERVICE_PROVIDER_ID,TEXT,Unique company identifier for US and international business service providers provided by the US Commercial Service.,"[""SW5kaWEtQWNjb3VudGluZywgQXVkaXRpbmcgYW5kIFRheCBTZXJ2aWNlcy1TdHJhdHJpY2ggQ29uc3VsdGluZyBQcml2YXRlIExpbWl0ZWQtaHR0cHM6Ly9zdHJhdHJpY2guY29tLw=="", ""R2VybWFueS1UcmFkZSBTaG93IGFuZCBFeGhpYml0aW9uIFNlcnZpY2VzLUJyaWRnZVRvRXVyb3BlIEdtYkggJiBDby4gS0ctaHR0cHM6Ly94cGFuZDJ4LmNvbQ=="", ""R2VybWFueS1BZHZlcnRpc2luZy1CcmlkZ2VUb0V1cm9wZSBHbWJIICYgQ28uIEtHLWh0dHBzOi8veHBhbmQyeC5jb20=""]",
BUSINESS_SERVICE_PROVIDER_NAME,TEXT,Name of the business service provider.,"[""Stratrich Consulting Private Limited"", ""BridgeToEurope GmbH & Co. KG"", ""Amalga Group""]",
SERVICE_CATEGORY,TEXT,Category of export/investment assistance service provided by the business service provider.,"[""Accounting, Auditing and Tax Services"", ""Trade Show and Exhibition Services"", ""Advertising""]",
BUSINESS_SERVICE_PROVIDER_PHONE,TEXT,Phone number of the point of contact at the business service provider.,"[""14159697987"", ""+49 89 38156 2992"", ""713 806 7817""]",
