column_name,column_type,column_description,sample_value,ref_key
primary_neoplasm_melanoma_dx,TEXT,,[],
batch_number,NUMBER,,[],
clinical_M,TEXT,,[],
case_gdc_id,TEXT,,"[""230edb1a-dd49-43be-9877-d2041c32fe77"", ""be64d20a-bcda-4623-912a-826e86f3225e"", ""a5d0c704-2888-4cff-805e-4bbe4636117c""]",
days_to_death,NUMBER,,[],
menopause_status,TEXT,,[],
other_dx,TEXT,,[],
weight,NUMBER,,[],
other_malignancy_anatomic_site,TEXT,,[],
days_to_initial_pathologic_diagnosis,NUMBER,,[],
primary_therapy_outcome_success,TEXT,,[],
other_malignancy_histological_type,TEXT,,[],
pathologic_T,TEXT,,[],
new_tumor_event_after_initial_treatment,BOOLEAN,,[],
clinical_T,TEXT,,[],
days_to_last_followup,NUMBER,,[],
pathologic_N,TEXT,,[],
icd_10,TEXT,,[],
project_name,TEXT,,"[""Ovarian Serous Cystadenocarcinoma"", ""Testicular Germ Cell Tumors"", ""Lung Adenocarcinoma""]",
age_at_diagnosis,NUMBER,,[],
number_of_lymphnodes_examined,NUMBER,,[],
program_name,TEXT,,"[""TCGA""]",
country,TEXT,,[],
anatomic_neoplasm_subdivision,TEXT,,[],
history_of_colon_polyps,TEXT,,[],
mononucleotide_and_dinucleotide_marker_panel_analysis_status,TEXT,,[],
lymphnodes_examined,TEXT,,[],
icd_o_3_histology,TEXT,,[],
number_of_lymphnodes_positive_by_he,TEXT,,[],
days_to_submitted_specimen_dx,TEXT,,[],
pathologic_stage,TEXT,,[],
h_pylori_infection,TEXT,,[],
other_malignancy_type,TEXT,,[],
year_of_tobacco_smoking_onset,NUMBER,,[],
histological_type,TEXT,,[],
pregnancies,TEXT,,[],
ethnicity,TEXT,,[],
race,TEXT,,[],
year_of_diagnosis,NUMBER,,[],
residual_tumor,TEXT,,[],
vital_status,TEXT,,[],
tumor_type,TEXT,,[],
days_to_last_known_alive,NUMBER,,[],
project_short_name,TEXT,,"[""TCGA-OV"", ""TCGA-TGCT"", ""TCGA-LUAD""]",
neoplasm_histologic_grade,TEXT,,[],
history_of_neoadjuvant_treatment,TEXT,,[],
clinical_N,TEXT,,[],
gender,TEXT,,[],
disease_code,TEXT,,"[""OV"", ""TGCT"", ""LUAD""]",
tumor_tissue_site,TEXT,,[],
icd_o_3_site,TEXT,,[],
venous_invasion,TEXT,,[],
gleason_score_combined,TEXT,,[],
days_to_birth,NUMBER,,[],
height,NUMBER,,[],
bmi,FLOAT,,[],
stopped_smoking_year,NUMBER,,[],
hpv_calls,TEXT,,[],
bcr,TEXT,,[],
case_barcode,TEXT,,"[""TCGA-72-4237"", ""TCGA-2G-AALF"", ""TCGA-17-Z019""]",
lymphatic_invasion,TEXT,,[],
clinical_stage,TEXT,,[],
psa_value,TEXT,,[],
tss_code,TEXT,,[],
colorectal_cancer,TEXT,,[],
tobacco_smoking_history,NUMBER,,[],
lymphovascular_invasion_present,TEXT,,[],
pathologic_M,TEXT,,[],
age_began_smoking_in_years,TEXT,,[],
hpv_status,TEXT,,[],
number_pack_years_smoked,NUMBER,,[],
person_neoplasm_cancer_status,TEXT,,[],
