column_name,column_type,column_description,sample_value,ref_key
ForumTopicId,NUMBER,,[464880.0],
Id,NUMBER,,"[46978346, 46979607, 46980103]",
MedalAwardDate,DATE,,[],
MadePublicDate,DATE,,"[""2023-11-28""]",
FirstKernelVersionId,NUMBER,,"[152701563, 152705157, 152706531]",
TotalComments,NUMBER,,"[0, 1]",
EvaluationDate,DATE,,"[""2023-12-30"", ""2023-11-28"", ""2023-11-30""]",
ForkParentKernelVersionId,NUMBER,,"[152550707.0, 152693168.0]",
IsProjectLanguageTemplate,BOOLEAN,,[false],
Medal,NUMBER,,[],
CreationDate,NUMBER,,"[1701170742000000, 1701172382000000, 1701172993000000]",
TotalVotes,NUMBER,,[1],
TotalViews,NUMBER,,"[50, 148, 121]",
CurrentKernelVersionId,NUMBER,,"[152712152.0, 152949918.0, 153703103.0]",
CurrentUrlSlug,TEXT,,"[""notebook209f8fec22"", ""countvectorizer-multinomialnb"", ""cam-capture""]",
AuthorUserId,NUMBER,,"[17582017, 17650091, 17915674]",
