column_name,column_type,column_description,sample_value,ref_key
SampleType,TEXT,"There are 10 sample types: Blood Derived Normal, Primary solid Tumor, Solid Tissue Normal, Recurrent Solid Tumor, Metastatic, Additional - New Primary, Primary Blood Derived Cancer - Peripheral Blood, Buccal Cell Normal, Additioanal Metastatic, Bone Marrrow Normal","[""Primary solid Tumor""]",
Locus_ID,NUMBER,"Gene locus ID, eg.  57380, 100616303","[221336, 101929694, 403274]",
SampleTypeLetterCode,TEXT,"Letter code of the sample type using the TCGA standards, eg TPN, EBV. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/sample-type-codes","[""TP""]",
Study,TEXT,"TCGA study abbreviation, eg LAML. Full list available at https://gdc.cancer.gov/resources-tcga-users/tcga-code-tables/tcga-study-abbreviations","[""KIRC""]",
GISTIC_Calls,FLOAT,Gistic Copy Number calls,[0.01],
ParticipantBarcode,TEXT,"TCGA barcode identifier for the study participant, eg TCGA-02-0001","[""TCGA-B2-5641"", ""TCGA-AK-3428"", ""TCGA-B0-4833""]",
SampleBarcode,TEXT,"Barcode of the biospecimen sample, eg TCGA-13-1489-02A","[""TCGA-B2-5641-01A"", ""TCGA-AK-3428-01A"", ""TCGA-B0-4833-01A""]",
Cytoband,TEXT,"Full cytoband name, including chromosome. E.g, 17p13.2 See https://www.ncbi.nlm.nih.gov/Class/MLACourse/Original8Hour/Genetics/chrombanding.html","[""6p12.1"", ""3q13.2"", ""3q11.2""]",
Gene_Symbol,TEXT,"eg TP53, LRP1B, etc (same as Hugo_Symbol field except blank instead of Unknown","[""BEND6"", ""RP11-572C15.5"", ""OR5H15""]",
AliquotBarcode,TEXT,"TCGA aliquot barcode, eg TCGA-12-1089-01A-01D-0517-28","[""TCGA-B2-5641-01A-01D-1530-01"", ""TCGA-AK-3428-01A-02D-1274-01"", ""TCGA-B0-4833-01A-01D-1302-01""]",
