column_name,column_type,column_description,sample_value,ref_key
assigned_to,TEXT,,"[""Judge Miranda M. Du"", ""Judge Philip M. Pro""]",
pacer_id,TEXT,,[],
date_last_filed,TEXT,,[],
date_filed,TEXT,,[],
related_case,TEXT,,"[""3:13-cv-00177-RCJ-WGC"", ""Federal Circuit, 15-01966""]",
jurisdictional_basis,TEXT,,"[""Federal Question""]",
settlement,TEXT,,[],
demand,TEXT,,"[""Plaintiff"", ""Both""]",
jury_demand,TEXT,,[],
date_closed,TEXT,,[],
case_row_id,TEXT,,"[""57008"", ""56478"", ""56446""]",
case_number,TEXT,,"[""3:13-cv-00176-MMD-WGC"", ""3:12-cv-00652-MMD-WGC"", ""3:12-cv-00504-MMD-VPC""]",
case_cause,TEXT,,"[""15:1126 Patent Infringement"", ""35:271 Patent Infringement"", ""28:2201 Constitutionality of State Statute(s)""]",
referred_to,TEXT,,"[""Magistrate Judge William G. Cobb"", ""Magistrate Judge Valerie P. Cooke"", ""Phyllis H. Atkins""]",
lead_case,TEXT,,[],
case_name,TEXT,,"[""Digcom, Inc, vs Casio Computer, et al"", ""Avery et al v. Barsky"", ""Unwired Planet, LLC v. Google, Inc.""]",
court_name,TEXT,,"[""District of Nevada (Reno)""]",
