column_name,column_type,column_description,sample_value,ref_key
InventorName,TEXT,,"[""Hongbing Gan"", ""Dennis Benjamin"", """"]",
ProsecutionStatus,TEXT,,"[""Filing Date Accorded"", ""Waiver Filed""]",
Documents,VARIANT,,[],
InstitutionDecisionDate,TEXT,,"[""""]",
AccordedFilingDate,TEXT,,"[""2016-02-12"", ""2016-02-23"", ""2017-05-12""]",
LastModifiedDatetime,TEXT,,"[""2016-07-10T18:50:38"", ""2016-07-10T18:50:33"", ""2017-08-17T18:13""]",
TrialNumber,TEXT,,"[""IPR2016-00623"", ""IPR2016-00644"", ""IPR2017-01429""]",
PetitionerPartyName,TEXT,,"[""Qualcomm Incorporated"", ""RPX Corporation"", ""Argentum Pharmaceuticals LLC""]",
PatentNumber,TEXT,,"[""8873500"", ""7010572"", ""7214506""]",
PatentOwnerName,TEXT,,"[""BANDSPEED, INC."", ""A PTY, Ltd."", ""Tatsumi et al""]",
FilingDate,TEXT,,"[""2016-02-12"", ""2016-02-23"", ""2017-05-12""]",
ApplicationNumber,TEXT,,"[""14034206"", ""09486648"", ""10685266""]",
