column_name,column_type,column_description,sample_value,ref_key
view_count,TEXT,,[],
tags,TEXT,,[],
owner_user_id,NUMBER,,"[155861, 697968, 679733]",
score,NUMBER,,[1],
owner_display_name,TEXT,,[],
answer_count,TEXT,,[],
last_editor_display_name,TEXT,,[],
last_activity_date,NUMBER,,"[1302954623957000, 1303285246993000, 1303352091643000]",
last_editor_user_id,NUMBER,,"[155861.0, 679733.0, 521034.0]",
favorite_count,TEXT,,[],
post_type_id,NUMBER,,[2],
community_owned_date,NUMBER,,[],
accepted_answer_id,TEXT,,[],
comment_count,NUMBER,,[14],
body,TEXT,,"[""<p>first do</p>\n\n<pre><code>// only for the GUY who didn't read the complete answer :(\n$param=addslashes($param); \n</code></pre>\n\n<p>then write code in simple HTML    </p>\n\n<pre><code>&lt;input type='button' onclick=\""myFunc(&lt;?php echo $param?&gt;);\"" /&gt;\n</code></pre>\n\n<p><strong>Note:</strong> <code>mysql_real_escape_string</code> works when we handle with mysqltry with <code>addslashes</code></p>"", ""<p>I agree with Noel</p>\n\n<p>There are many ways to achieve what you are trying. One way to do this is using <code>System.Reflection</code></p>\n\n<p>like this in formA </p>\n\n<pre><code> Assembly a = Assembly.LoadFrom(\""WindowsApplication1.exe\"");\n        Form frm = a.CreateInstance(\""WindowsApplication1.FormB\"") as Form;\n        frm.MdiParent = this;\n        frm.Show();\n</code></pre>"", ""<h2>Example</h2>\n\n<pre><code>$dt = time();   // today... or use $dt = strtotime('2010-04-20'); to set custom start date.\n$past_days = 7; // number of past days\n$filesindir = dirTxt('your_dir');\n\nfor ($i=0; $i&lt;=$past_days; $i++) {\n  $filename = 'abcd_' . date('Y_m_d', $dt) . '.txt';\n  $files[] = $filename;\n  $dt = strtotime('-1 day', $dt);\n  } \n\n$files = array_intersect($filesindir, $files);\n\nprint_r($files);\n</code></pre>\n\n<h2>Output (might be like this, depends of $filesindir array)</h2>\n\n<pre><code>Array\n(\n    [0] =&gt; abcd_2011_04_21.txt\n    [1] =&gt; abcd_2011_04_20.txt\n    [2] =&gt; abcd_2011_04_18.txt\n    [3] =&gt; abcd_2011_04_15.txt\n)\n</code></pre>""]",
parent_id,NUMBER,,"[5686086, 5726895, 5738395]",
id,NUMBER,,"[5686118, 5727069, 5738452]",
title,TEXT,,[],
creation_date,NUMBER,,"[1302952732137000, 1303285246993000, 1303348543150000]",
last_edit_date,NUMBER,,"[1302954623957000.0, 1303352091643000.0, 1304044855097000.0]",
