column_name,column_type,column_description,sample_value,ref_key
last_edit_date,NUMBER,,"[1301584153647000.0, 1296556692013000.0, 1297330614700000.0]",
owner_display_name,TEXT,,[],
accepted_answer_id,NUMBER,,"[5501615.0, 5516812.0, 4868352.0]",
owner_user_id,NUMBER,,"[302677, 45580, 56648]",
tags,TEXT,,"[""c#|.net|desktop-application"", ""c++|embedded|battery"", ""visual-studio-2010|resharper|intellisense""]",
last_activity_date,NUMBER,,"[1301584636283000, 1451160022947000, 1357233622743000]",
body,TEXT,,"[""<p>Reading a battery voltage in an embedded device.  However, the actual voltage varies greatly depending upon system load.  We need a method to reduce the fluctuation of the voltage to display the best value.</p>\n\n<p>Currently, we're using a rolling/moving average.  However, over the last 15 readings, the result still fluctuates too much.</p>\n\n<p>In reading about smoothing algorithms, it appears that b-splines, kernel filters, or some other smoothing algorithms would be ideal.  However, I can't find a simple example that doesn't use numpy or intrinsic functions within mathcad or some such.</p>\n\n<p>Anybody know of a simple-to-implement function that could help with this?  This is a C++ project (using Qt 4.5) with just the bar minimum of libraries.  I'd prefer to stay in the integer domain (showing the voltage in millivolts from 3300-4200).</p>\n\n<p>TIA\nMike</p>"", ""<p>I'm using VS 2010 with resharper. If I have a class called ConfigParserTests and then write </p>\n\n<p><code>new ConfigParser( </code></p>\n\n<p>the code will auto complete to </p>\n\n<p><code>new ConfigParserTests() </code></p>\n\n<p>which is not what I want. Any idea how to disable this nasty feature.</p>\n\n<p>[Edit] </p>\n\n<p>What is want is to write out  </p>\n\n<p><code>new ConfigParser()</code> </p>\n\n<p>without pressing \""Esc\"". In this case I am using TDD so ConfigParser does not exist.</p>\n\n<p>[/Edit]</p>\n\n<p>I have been looking around in both the resharper and VS intellisense menus without finding anything helpful.</p>"", ""<p>Might be a newbie question. I have a code line like this:</p>\n\n<pre><code>&lt;div class=\""template active\""&gt;\n</code></pre>\n\n<p>I need to get each class for itself.</p>\n\n<p><strong>I tried this code:</strong></p>\n\n<pre><code>$(this).attr(\""class\"");\n</code></pre>\n\n<p>From that code I get \""template active\"". What I need is one string with \""template\"" and another with \""active\"".</p>\n\n<p>What is the best jQuery function for that? Example?</p>""]",
title,TEXT,,"[""Open website in the user's default browser without letting them launch anything else?"", ""Smoothing function for battery voltage display to reduce spikes in embedded system"", ""Resharper (or Visual Studio) auto completion""]",
view_count,NUMBER,,"[13116, 3023, 6904]",
community_owned_date,NUMBER,,[],
creation_date,NUMBER,,"[1301581207630000, 1301678181983000, 1296458999860000]",
post_type_id,NUMBER,,[1],
answer_count,NUMBER,,[7],
last_editor_display_name,TEXT,,[],
id,NUMBER,,"[5501349, 5516641, 4848534]",
last_editor_user_id,NUMBER,,"[302677.0, 56648.0, 182360.0]",
comment_count,NUMBER,,"[19, 0, 2]",
favorite_count,NUMBER,,"[2.0, 1.0, 4.0]",
parent_id,TEXT,,[],
score,NUMBER,,"[7, 8]",
