column_name,column_type,column_description,sample_value,ref_key
story_id,NUMBER,,"[10734334, 10738430]",
timestamp,NUMBER,,"[1450180819000000, 1450237464000000, 1450244379000000]",
ranking,NUMBER,,[],
url,TEXT,,[],
type,TEXT,,"[""comment""]",
level,NUMBER,,"[0, 1, 2]",
time,NUMBER,,"[1450180819, 1450237464, 1450244379]",
descendants,NUMBER,,[],
parent,NUMBER,,"[10734334, 10741907, 10741674]",
title,TEXT,,[],
text,TEXT,,"[""In the video, Andrew creates music live on his laptop by writing a few lines of Scheme.<p>Besides the musical aspects, the video also provides an example of changing snippets code on the fly. The snippets can be started while the rest of the program continues to run. That&#x27;s based on Extempore and the Impromptu language that they created specifically for cyber-physical computing (<a href=\""https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Impromptu_%28programming_environment%29\"" rel=\""nofollow\"">https:&#x2F;&#x2F;en.wikipedia.org&#x2F;wiki&#x2F;Impromptu_%28programming_envir...</a>)"", ""We need a Mac to do it , make it cross platform and we&#x27;ll have a deal here."", ""Requires a Mac (not a problem for me, but for some), the UI builder for XCode can be very annoying for non-cookie cutter UIs, and you&#x27;re on you&#x27;re own if you don&#x27;t use that. Also, the app store itself can make it difficult to find your app and your ratings are reset after every update.<p>The update cycle for iOS can create a kind of hamster wheel of constant &quot;upgrades&quot; that break even year old apps but mainly introduce features that have been as much about Apple&#x27;s business needs or supporting their aesthetic as making the platform better for devs or (often) users.<p>The contrast for Android is the tech is often less mature, support is scattered across many different handsets, you can never be sure users have upgraded to a recent version of the OS, and the percentage of users paying for apps is lower.""]",
id,NUMBER,,"[10737280, 10742233, 10742596]",
fake_date,DATE,,"[""2000-01-01""]",
score,NUMBER,,[],
by,TEXT,,"[""feb"", ""bsdnoob"", ""nikdaheratik""]",
dead,BOOLEAN,,[],
deleted,BOOLEAN,,[],
