column_name,column_type,column_description,sample_value,ref_key
ranking,NUMBER,,[],
by,TEXT,,"[""draker"", ""mindcrime"", ""wsieroci""]",
dead,BOOLEAN,,[],
id,NUMBER,,"[5310811, 5925001, 5367137]",
parent,NUMBER,,[],
fake_date,DATE,,"[""2000-01-01""]",
time,NUMBER,,"[1362254725, 1371932178, 1363155987]",
url,TEXT,,"[""http://www.fastcompany.com/3006490/fast-feed/medical-students-better-surgery-after-hours-nintendo-each-week"", ""http://www.guardian.co.uk/technology/2011/mar/17/us-spy-operation-social-networks?resubmit"", ""http://keepermovies.com/""]",
text,TEXT,,"[""Hi,<p>This is my first django website, how do you like it? Please give me your feedback :)<p>Best,\nWiktor""]",
score,NUMBER,,[11],
deleted,BOOLEAN,,[],
timestamp,NUMBER,,"[1362254725000000, 1371932178000000, 1363155987000000]",
type,TEXT,,"[""story""]",
title,TEXT,,"[""Medical Students Better At Surgery After Hours Of Nintendo Each Week"", ""Revealed: US Spy Operation That Targets Social Medial [2011]"", ""Show HN: Site which searches throught Internet to find full movies from youtube""]",
descendants,NUMBER,,[2],
