column_name,column_type,column_description,sample_value,ref_key
last_editor_display_name,TEXT,,[],
post_type_id,NUMBER,,[6],
owner_user_id,NUMBER,,"[171206, 3312, 437768]",
id,NUMBER,,"[4729565, 4729601, 4729691]",
last_activity_date,NUMBER,,"[1295388234897000, 1295388481350000, 1295389143423000]",
last_editor_user_id,NUMBER,,"[171206, 3312, 437768]",
tags,TEXT,,[],
favorite_count,TEXT,,[],
parent_id,TEXT,,[],
owner_display_name,TEXT,,[],
comment_count,NUMBER,,[0],
score,NUMBER,,[0],
accepted_answer_id,TEXT,,[],
last_edit_date,NUMBER,,"[1295388234897000, 1295388481350000, 1295389143423000]",
community_owned_date,NUMBER,,"[1295388234897000, 1295388481350000, 1295389143423000]",
answer_count,TEXT,,[],
view_count,TEXT,,[],
title,TEXT,,[],
body,TEXT,,"[""<p>I am detail oriented and would like to moderate this site to keep it a clean and fun place to visit everyday.</p>"", ""<p>Back when he was in high school, my dad ran for senior class president on the slogan of </p>\n\n<blockquote>\n  <p>\""Slicer is Nicer\"".</p>\n</blockquote>\n\n<p>Well, I may certainly be nice too, and that will be tempered with patience, respect and professionalism.  As a professional developer for over 15 years and a technology hobbyist since 1982, I believe you'll find I will do well to keep this community moving forward and bringing the best practices of development to aspiring technologists.</p>"", ""<p>I firmly believe that a good moderator is like a good pre-school teacher.  Willing to listen to all, to help others better themselves, be there to arbitrate disagreements and able to learn from their <em>own</em> mistakes.  I may not be the best developer around (there are many before me who have a better claim to that title), but I think I can be fair.</p>\n\n<p>Holy crap, I just compared all the members of this site to pre-school children.  Well, there goes <em>my</em> nomination!</p>""]",
creation_date,NUMBER,,"[1295388234897000, 1295388481350000, 1295389143423000]",
