column_name,column_type,column_description,sample_value,ref_key
associated_entities__case_gdc_id,TEXT,GDC case uuid for associated case(s),"[""320a2dca-ee07-4d14-a7b8-178636636880"", ""ce28f65d-4ae8-4e63-815f-5b8d4389e092"", ""27c9e7aa-1760-4cfc-95b0-a091d35d317b""]",
index_file_gdc_id,TEXT,"Where available, GDC file uuid for index file ","[""e4466deb-6013-4e0e-a76f-23a73f76b829"", ""4c5a4f46-c58c-442e-85ea-65ef1cf2f4a0"", ""e04b487c-0f46-4dc8-84db-3c6a0e9dc7b2""]",
project_name,TEXT,Project Name; frequently the same as or similar to the project disease type eg   Acute Lymphoblastic Leukemia - Phase II   or   Breast Invasive Carcinoma   etc,"[""Skin Cutaneous Melanoma""]",
data_category,TEXT,"Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc","[""Simple Nucleotide Variation""]",
index_file_name,TEXT,"Where available, GDC file name for index file ","[""varscan_indel_recover_20170629/21301a07-7e02-42a5-b35f-93a5fd4bcf80/21301a07-7e02-42a5-b35f-93a5fd4bcf80.vcf.gz.tbi"", ""varscan_indel_recover_20170629/f9479fd6-e385-4934-8fbe-76fe9e2a018d/f9479fd6-e385-4934-8fbe-76fe9e2a018d.vcf.gz.tbi"", ""varscan_indel_recover_20170629/65da8beb-109d-4fd1-ad52-2c54cad01e59/65da8beb-109d-4fd1-ad52-2c54cad01e59.vcf.gz.tbi""]",
downstream_analyses__workflow_type,TEXT,"Name of GDC workflow, eg VarScan2 Annotation (if applicable, NULL where no information is available)","[""VarScan2 Annotation""]",
downstream_analyses__output_file_gdc_ids,TEXT,Semicolon-separated list of GDC file UUIDs,"[""ecda0fa7-7545-45da-9c59-341603271fdf"", ""b844656e-7e21-412d-9aca-2ad096f5b2d9"", ""026b62e5-3a99-48a5-b846-cbfda4ae6023""]",
analysis_workflow_link,TEXT,Link to GDC workflow on github,"[""https://github.com/NCI-GDC/varscan-cwl""]",
file_type,TEXT,"File Type  -- eg aligned_reads, simple_somatic_mutation, gene_expression, etc","[""simple_somatic_mutation""]",
access,TEXT,Data accessibility policy (open or controlled),"[""controlled""]",
md5sum,TEXT,Md5sum for GDC data file,"[""4f32d7704598fe75fed6961d543787be"", ""76b56b201234208e494cce4f0fd6e35a"", ""dce9b6d7a044f0d4d38ac8805ef987ca""]",
archive_revision,NUMBER,Archive revision number,[],
program_name,TEXT,"Program name, eg TCGA or TARGET","[""TCGA""]",
created_datetime,TEXT,"Timestamp of creation, eg 2016-10-27T21:58:12.297090-05:10","[""2017-12-01T05:37:10.702800-06:00"", ""2017-12-01T05:55:50.101422-06:00"", ""2017-12-01T06:14:12.958499-06:00""]",
program_dbgap_accession_number,TEXT,"Program dbGaP accession number, eg phs000178","[""phs000178""]",
index_file_size,NUMBER,"Where available, size of the index file in bytes ","[45382, 12672, 11785]",
platform,TEXT,"Platform used to generate this data, eg  Illumina  , or  Affymetrix SNP 6.10",[],
updated_datetime,TEXT,"Timestamp of latest update, eg 2017-03-04T16:37:26.081298-06:00","[""2019-09-18T09:42:39.989531+00:00""]",
project_disease_type,TEXT,"The type of disease studied by the project; eg. Sarcoma,  Breast Invasive Carcinoma,Acute Lymphoblastic Leukemia, etc","[""Skin Cutaneous Melanoma""]",
associated_entities__entity_gdc_id,TEXT,GDC entity uuid for associated entity(ies),"[""671751cd-b6da-48ea-b70a-91aa9f38563a;e5c1f977-fadd-44d0-a915-894fd56b9b2a"", ""e7b47cec-4001-4426-81a0-86b345a56800;d053f88f-09e6-472e-a691-bb293c461399"", ""839c6ed4-8895-41db-a9e4-eae33505bd36;a4866043-bb1c-4602-889b-58d565b39d37""]",
file_name,TEXT,Name of file at the GDC,"[""21301a07-7e02-42a5-b35f-93a5fd4bcf80.vcf.gz"", ""f9479fd6-e385-4934-8fbe-76fe9e2a018d.vcf.gz"", ""65da8beb-109d-4fd1-ad52-2c54cad01e59.vcf.gz""]",
file_gdc_id,TEXT,Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba4,"[""21301a07-7e02-42a5-b35f-93a5fd4bcf80"", ""f9479fd6-e385-4934-8fbe-76fe9e2a018d"", ""65da8beb-109d-4fd1-ad52-2c54cad01e59""]",
case_gdc_id,TEXT,GDC unique identifier,"[""320a2dca-ee07-4d14-a7b8-178636636880"", ""ce28f65d-4ae8-4e63-815f-5b8d4389e092"", ""27c9e7aa-1760-4cfc-95b0-a091d35d317b""]",
dbName,TEXT,"Referring to the default/main database at the GDC. In this table, this field is always current.","[""active""]",
data_type,TEXT,"Experimental source of the data type, eg Tissue slide image, RNA-Seq","[""Raw Simple Somatic Mutation""]",
archive_state,TEXT,Archive state,[],
associated_entities__entity_type,TEXT,"Associated entity type, eg   aliquot   or   case  ","[""aliquot""]",
data_format,TEXT,"File format of the underlying data, eg BCR XML, BAM","[""VCF""]",
acl,TEXT,"Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179","[""phs000178""]",
analysis_workflow_type,TEXT,Workflow name eg  STAR 2-Pass  ,"[""VarScan2""]",
archive_gdc_id,TEXT,GDC archive UUID,[],
experimental_strategy,TEXT,"Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq","[""WXS""]",
file_state,TEXT,File state -- either live or submitted,"[""released""]",
downstream_analyses__workflow_link,TEXT,"Name of GDC workflow, eg VarScan2 Annotation (if applicable, NULL where no information is available)","[""https://github.com/NCI-GDC/vep-cwl""]",
project_short_name,TEXT,"Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.","[""TCGA-SKCM""]",
project_dbgap_accession_number,TEXT,"Program dbGaP accession number, eg phs000188",[],
file_submitter_id,TEXT,Original submitter file id (eg CGHub analysis_id),"[""TCGA-D3-A8GQ-06A-11D-A372-08_TCGA-D3-A8GQ-10A-01D-A375-08_varscan_dr_10.0"", ""TCGA-ER-A19J-06A-11D-A196-08_TCGA-ER-A19J-10A-01D-A198-08_varscan_dr_10.0"", ""TCGA-EB-A1NK-01A-11D-A196-08_TCGA-EB-A1NK-10A-01D-A198-08_varscan_dr_10.0""]",
analysis_input_file_gdc_ids,TEXT,GDC file UUIDs for input file(s),"[""8764bb40-7dc8-43e9-b427-30b719b2a46d;ece74770-7a60-4a3a-b704-f8ebf24f3cc7"", ""b559e193-8d5f-40b0-b66b-fd40a2f0a5d6;b9421d7a-921d-4b81-92ee-14841683cb6b"", ""17d7ad0d-a62d-47d5-928a-a937ce8389eb;503d216b-907a-4d20-b7f3-1168a1d832ed""]",
archive_submitter_id,TEXT,"Original archive submitter name, eg  nationwidechildrens.org_BRCA.bio.Level_1.56",[],
associated_entities__entity_submitter_id,TEXT,Submitter id for associated entity(ies),"[""TCGA-D3-A8GQ-10A-01D-A375-08;TCGA-D3-A8GQ-06A-11D-A372-08"", ""TCGA-ER-A19J-10A-01D-A198-08;TCGA-ER-A19J-06A-11D-A196-08"", ""TCGA-EB-A1NK-10A-01D-A198-08;TCGA-EB-A1NK-01A-11D-A196-08""]",
file_id,TEXT,GDC file identifier. This is a duplicate of file_gdc_id field found in some tables. ,"[""21301a07-7e02-42a5-b35f-93a5fd4bcf80"", ""f9479fd6-e385-4934-8fbe-76fe9e2a018d"", ""65da8beb-109d-4fd1-ad52-2c54cad01e59""]",
file_size,NUMBER,The size of the file measured in bytes,"[195449, 48709, 44379]",
