column_name,column_type,column_description,sample_value,ref_key
type,TEXT,"Description of the data, eg. clinical_supplement, aligned_reads","[""biospecimen_supplement""]",
project_short_name,TEXT,"Project name abbreviation; the program name appended with a project name abbreviation; eg. TCGA-OV, etc.","[""TCGA-OV""]",
disease_code,TEXT,"A code representing the type of cancer. Values can be found at https://gdc.cancer.gov/resources-TCGA-users/TCGA-code-tables/TCGA-study-abbreviations; eg. OV, GBM, LUAD","[""OV""]",
index_file_name_key,TEXT,GDC path to original vcf or bam index file ,[],
access,TEXT,Data accessibility policy (open or controlled),"[""open""]",
experimental_strategy,TEXT,"Experimental strategy used to generate data (where applicable) e.g. WXS, RNA-Seq",[],
program_name,TEXT,"Program name, eg TCGA or TARGET","[""TCGA""]",
sample_gdc_id,TEXT,"Unique GDC identifier for this sample (corresponds to the sample_barcode), eg a1ec9279-c1a6-4e58-97ed-9ec1f36187c5  --  this can be used to access more information from the GDC data portal","[""NA""]",
platform,TEXT,"Platform used to generate data (null, Illumina)",[],
case_gdc_id,TEXT,Unique GDC identifier for this case (corresponds to the case_barcode).  Can be used to access more information from the GDC data portal like this:   https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba37,"[""80690bbb-05db-413c-b1bc-96b744dea49e"", ""ca210bb9-0176-4ab1-9fdf-ef0bf15e6562"", ""45f6d94b-6f45-4890-a418-0f891b3d9e12""]",
file_size,NUMBER,The size of the file measured in bytes,"[30616, 30614]",
index_file_id,TEXT,BAM  or VCF index file GDC file UUID,[],
data_category,TEXT,"Category description of the underlying data, eg Clinical, Raw Sequencing Data, Simple Nucleotide Variation, Transcriptome Profiling  , etc","[""Biospecimen""]",
index_file_size,NUMBER,"When available, the size of the file measured in bytes",[],
data_format,TEXT,"File format of the underlying data, eg BCR XML, BAM","[""BCR XML""]",
acl,TEXT,"Access Control List -- if access is controlled, this field contains the dbGaP accession, eg phs000179","[""open""]",
sample_barcode,TEXT,"TCGA sample barcode, eg TCGA-12-1089-01A. One sample may have multiple sets of CN segmentations corresponding to multiple aliquots; use GROUP BY appropriately in queries","[""NA""]",
case_barcode,TEXT,"Original TCGA case barcode, eg TCGA-DX-A8BN","[""TCGA-72-4233"", ""TCGA-72-4234"", ""TCGA-72-4232""]",
file_name_key,TEXT,GDC path to original bam or vcf file,"[""gs://gdc-tcga-phs000178-open/d30800f0-fbfd-4237-8e4b-92abd18757bc/nationwidechildrens.org_biospecimen.TCGA-72-4233.xml"", ""gs://gdc-tcga-phs000178-open/eef6ef00-6846-48ec-b4ad-bf3e5ca1bfb5/nationwidechildrens.org_biospecimen.TCGA-72-4234.xml"", ""gs://gdc-tcga-phs000178-open/96c6e235-821b-4540-9ab7-2ef8af0d9e19/nationwidechildrens.org_biospecimen.TCGA-72-4232.xml""]",
file_gdc_id,TEXT,Unique GDC identifier for this file (corresponds to the file_barcode)  --  this can be used to access more information from the GDC data portal like this: https://portal.gdc.cancer.gov/files/c21b332c-06c6-4403-9032-f91c8f407ba44,"[""d30800f0-fbfd-4237-8e4b-92abd18757bc"", ""eef6ef00-6846-48ec-b4ad-bf3e5ca1bfb5"", ""96c6e235-821b-4540-9ab7-2ef8af0d9e19""]",
data_type,TEXT,"Experimental source of the data type, eg Tissue slide image, RNA-Seq",[],
