column_name,column_type,column_description,sample_value,ref_key
longitude,FLOAT,,"[-72.87094866, -71.55302951]",
age,NUMBER,,"[63, 38, 68]",
email,TEXT,,"[""breannaritter@example.net"", ""richardsmith@example.net"", ""danielburton@example.org""]",
country,TEXT,,"[""Brasil""]",
city,TEXT,,"[""null"", ""Tarauacá""]",
street_address,TEXT,,"[""046 Tracy Loaf"", ""5962 Smith Hills Apt. 774"", ""4801 Johnson Fields""]",
last_name,TEXT,,"[""Ritter"", ""Smith"", ""Burton""]",
created_at,NUMBER,,"[1680349680000000, 1712810340000000, 1593050940000000]",
id,NUMBER,,"[11668, 81441, 85935]",
first_name,TEXT,,"[""Breanna"", ""Richard"", ""Daniel""]",
traffic_source,TEXT,,"[""Search"", ""Display""]",
latitude,FLOAT,,"[-8.065346116, -8.325245103]",
postal_code,TEXT,,"[""69980-000"", ""69970-000""]",
gender,TEXT,,"[""F"", ""M""]",
state,TEXT,,"[""Acre""]",
